bench,layer,T_ref,loop,defected,virtual,serial,disable,redundant
blackscholes,0,308.62,100,0.75,19.9375,80.0625,0.0,0.25
blackscholes,1,308.62,100,0.75,19.3125,80.6875,0.0,0.25
blackscholes,2,308.62,100,0.75,20.25,79.75,0.0,0.25
blackscholes,3,308.62,100,0.75,18.5625,81.4375,0.0,0.25
blackscholes,0,309.12,100,0.75,20.25,79.75,0.0,0.25
blackscholes,1,309.12,100,0.75,19.5,80.5,0.0,0.25
blackscholes,2,309.12,100,0.75,20.6875,79.3125,0.0,0.25
blackscholes,3,309.12,100,0.5,60.25,14.75,0.0,0.25
blackscholes,0,309.62,100,0.5,61.1875,13.8125,0.0,0.25
blackscholes,1,309.62,100,0.5,61.625,13.375,0.0,0.25
blackscholes,2,309.62,100,0.5,59.9375,15.0625,0.0,0.25
blackscholes,3,309.62,100,0.5,60.3125,14.6875,0.0,0.25
blackscholes,0,310.12,100,0.5,60.5,14.5,0.0,0.25
blackscholes,1,310.12,100,0.5,60.75,14.25,0.0,0.25
blackscholes,2,310.12,100,0.5,60.5,14.5,0.0,0.25
blackscholes,3,310.12,100,0.5,61.0625,13.9375,0.0,0.25
blackscholes,0,310.62,100,0.5,61.0625,13.9375,0.0,0.25
blackscholes,1,310.62,100,0.5,61.25,13.75,0.0,0.25
blackscholes,2,310.62,100,0.5,60.1875,14.8125,0.0,0.25
blackscholes,3,310.62,100,0.5,61.125,13.875,0.0,0.25
blackscholes,0,311.12,100,0.5,60.0,15.0,0.0,0.25
blackscholes,1,311.12,100,0.5,60.25,14.75,0.0,0.25
blackscholes,2,311.12,100,0.5,59.875,15.125,0.0,0.25
blackscholes,3,311.12,100,0.5,60.5625,14.4375,0.0,0.25
blackscholes,0,311.62,100,0.5,60.1875,14.8125,0.0,0.25
blackscholes,1,311.62,100,0.5,60.4375,14.5625,0.0,0.25
blackscholes,2,311.62,100,0.5,60.625,14.375,0.0,0.25
blackscholes,3,311.62,100,0.5,60.5,14.5,0.0,0.25
blackscholes,0,312.12,100,0.5,60.6875,14.3125,0.0,0.25
blackscholes,1,312.12,100,0.5,62.0,13.0,0.0,0.25
blackscholes,2,312.12,100,0.5,61.5625,13.4375,0.0,0.25
blackscholes,3,312.12,100,0.5,60.0,15.0,0.0,0.25
blackscholes,0,312.62,100,0.5,61.4375,13.5625,0.0,0.25
blackscholes,1,312.62,100,0.5,59.9375,15.0625,0.0,0.25
blackscholes,2,312.62,100,0.25,2.1875,0.0625,0.0,0.25
blackscholes,3,312.62,100,0.25,2.0625,0.0625,0.0,0.25
blackscholes,0,313.12,100,0.25,1.0625,0.375,0.0,0.25
blackscholes,1,313.12,100,0.25,1.6875,0.25,0.0,0.25
blackscholes,2,313.12,100,0.25,1.75,0.0,0.0,0.25
blackscholes,3,313.12,100,0.25,1.5625,0.1875,0.0,0.25
blackscholes,0,313.62,100,0.25,1.875,0.0,0.0,0.25
blackscholes,1,313.62,100,0.25,1.0625,0.0625,0.0,0.25
blackscholes,2,313.62,100,0.25,1.8125,0.0625,0.0,0.25
blackscholes,3,313.62,100,0.25,1.375,0.125,0.0,0.25
blackscholes,0,314.12,100,0.25,2.0625,0.125,0.0,0.25
blackscholes,1,314.12,100,0.25,1.9375,0.125,0.0,0.25
blackscholes,2,314.12,100,0.25,2.25,0.125,0.0,0.25
blackscholes,3,314.12,100,0.25,1.6875,0.125,0.0,0.25
blackscholes,0,314.62,100,0.25,1.875,0.0,0.0,0.25
blackscholes,1,314.62,100,0.25,1.875,0.0,0.0,0.25
blackscholes,2,314.62,100,0.25,1.6875,0.1875,0.0,0.25
blackscholes,3,314.62,100,0.25,1.9375,0.125,0.0,0.25
blackscholes,0,315.12,100,0.25,1.75,0.0625,0.0,0.25
blackscholes,1,315.12,100,0.25,2.8125,0.125,0.0,0.25
blackscholes,2,315.12,100,0.25,1.6875,0.0625,0.0,0.25
