bench,layer,T_ref,loop,defected,virtual,serial,disable,redundant
blackscholes,0,308.62,100,0.75,36.0625,38.9375,0.0,0.5
blackscholes,1,308.62,100,0.75,36.0625,38.9375,0.0,0.5
blackscholes,2,308.62,100,0.75,35.125,39.875,0.0,0.5
blackscholes,3,308.62,100,0.75,36.75,38.25,0.0,0.5
blackscholes,0,309.12,100,0.75,33.5,41.5,0.0,0.5
blackscholes,1,309.12,100,0.75,34.5625,40.4375,0.0,0.5
blackscholes,2,309.12,100,0.75,34.6875,40.3125,0.0,0.5
blackscholes,3,309.12,100,0.5,9.9375,1.8125,0.0,0.5
blackscholes,0,309.62,100,0.5,9.25,1.3125,0.0,0.5
blackscholes,1,309.62,100,0.5,10.1875,1.875,0.0,0.5
blackscholes,2,309.62,100,0.5,10.25,1.3125,0.0,0.5
blackscholes,3,309.62,100,0.5,10.8125,1.9375,0.0,0.5
blackscholes,0,310.12,100,0.5,10.5,2.0625,0.0,0.5
blackscholes,1,310.12,100,0.5,10.125,1.4375,0.0,0.5
blackscholes,2,310.12,100,0.5,9.4375,1.5,0.0,0.5
blackscholes,3,310.12,100,0.5,10.3125,1.3125,0.0,0.5
blackscholes,0,310.62,100,0.5,9.875,1.125,0.0,0.5
blackscholes,1,310.62,100,0.5,9.75,1.5625,0.0,0.5
blackscholes,2,310.62,100,0.5,11.5625,1.75,0.0,0.5
blackscholes,3,310.62,100,0.5,9.8125,1.3125,0.0,0.5
blackscholes,0,311.12,100,0.5,10.1875,1.1875,0.0,0.5
blackscholes,1,311.12,100,0.5,10.1875,1.0625,0.0,0.5
blackscholes,2,311.12,100,0.5,9.75,1.5625,0.0,0.5
blackscholes,3,311.12,100,0.5,10.5625,1.6875,0.0,0.5
blackscholes,0,311.62,100,0.5,9.8125,1.6875,0.0,0.5
blackscholes,1,311.62,100,0.5,9.875,1.1875,0.0,0.5
blackscholes,2,311.62,100,0.5,9.5625,2.0,0.0,0.5
blackscholes,3,311.62,100,0.5,10.375,1.5,0.0,0.5
blackscholes,0,312.12,100,0.5,10.6875,1.6875,0.0,0.5
blackscholes,1,312.12,100,0.5,10.125,1.4375,0.0,0.5
blackscholes,2,312.12,100,0.5,10.125,1.875,0.0,0.5
blackscholes,3,312.12,100,0.5,10.875,1.375,0.0,0.5
blackscholes,0,312.62,100,0.5,10.5,1.75,0.0,0.5
blackscholes,1,312.62,100,0.5,9.25,2.0625,0.0,0.5
blackscholes,2,312.62,100,0.25,0.0,0.0,0.0,0.5
blackscholes,3,312.62,100,0.25,0.0,0.0,0.0,0.5
blackscholes,0,313.12,100,0.25,0.0,0.0,0.0,0.5
blackscholes,1,313.12,100,0.25,0.0,0.0,0.0,0.5
blackscholes,2,313.12,100,0.25,0.0,0.0,0.0,0.5
blackscholes,3,313.12,100,0.25,0.0,0.0,0.0,0.5
blackscholes,0,313.62,100,0.25,0.0,0.0,0.0,0.5
blackscholes,1,313.62,100,0.25,0.0,0.0,0.0,0.5
blackscholes,2,313.62,100,0.25,0.0,0.0,0.0,0.5
blackscholes,3,313.62,100,0.25,0.0,0.0,0.0,0.5
blackscholes,0,314.12,100,0.25,0.0,0.0,0.0,0.5
blackscholes,1,314.12,100,0.25,0.0,0.0,0.0,0.5
blackscholes,2,314.12,100,0.25,0.0,0.0,0.0,0.5
blackscholes,3,314.12,100,0.25,0.0,0.0,0.0,0.5
blackscholes,0,314.62,100,0.25,0.0,0.0,0.0,0.5
blackscholes,1,314.62,100,0.25,0.0,0.0,0.0,0.5
blackscholes,2,314.62,100,0.25,0.0,0.0,0.0,0.5
blackscholes,3,314.62,100,0.25,0.0,0.0,0.0,0.5
blackscholes,0,315.12,100,0.25,0.0,0.0,0.0,0.5
blackscholes,1,315.12,100,0.25,0.0,0.0,0.0,0.5
blackscholes,2,315.12,100,0.25,0.0,0.0,0.0,0.5
blackscholes,3,315.12,100,0.25,0.0,0.0,0.0,0.5
blackscholes,0,315.62,100,0.25,0.0,0.0,0.0,0.5
blackscholes,1,315.62,100,0.25,0.0,0.0,0.0,0.5
blackscholes,2,315.62,100,0.25,0.0,0.0,0.0,0.5
blackscholes,3,315.62,100,0.25,0.0,0.0,0.0,0.5
