bench,layer,T_ref,loop,defected,virtual,serial,disable,redundant
blackscholes,0,308.62,100,0.75,15.625,84.375,0.0,0.25
blackscholes,1,308.62,100,0.75,15.875,84.125,0.0,0.25
blackscholes,2,308.62,100,0.75,16.4375,83.5625,0.0,0.25
blackscholes,3,308.62,100,0.75,16.0625,83.9375,0.0,0.25
blackscholes,0,309.12,100,0.75,14.75,85.25,0.0,0.25
blackscholes,1,309.12,100,0.75,16.25,83.75,0.0,0.25
blackscholes,2,309.12,100,0.75,16.25,83.75,0.0,0.25
blackscholes,3,309.12,100,0.5,86.4375,13.5625,0.0,0.25
blackscholes,0,309.62,100,0.5,86.1875,13.8125,0.0,0.25
blackscholes,1,309.62,100,0.5,85.1875,14.8125,0.0,0.25
blackscholes,2,309.62,100,0.5,85.375,14.625,0.0,0.25
blackscholes,3,309.62,100,0.5,85.125,14.875,0.0,0.25
blackscholes,0,310.12,100,0.5,85.6875,14.3125,0.0,0.25
blackscholes,1,310.12,100,0.5,85.9375,14.0625,0.0,0.25
blackscholes,2,310.12,100,0.5,85.9375,14.0625,0.0,0.25
blackscholes,3,310.12,100,0.5,86.5,13.5,0.0,0.25
blackscholes,0,310.62,100,0.5,85.625,14.375,0.0,0.25
blackscholes,1,310.62,100,0.5,85.5625,14.4375,0.0,0.25
blackscholes,2,310.62,100,0.5,83.8125,16.1875,0.0,0.25
blackscholes,3,310.62,100,0.5,85.0625,14.9375,0.0,0.25
blackscholes,0,311.12,100,0.5,85.4375,14.5625,0.0,0.25
blackscholes,1,311.12,100,0.5,85.5,14.5,0.0,0.25
blackscholes,2,311.12,100,0.5,85.25,14.75,0.0,0.25
blackscholes,3,311.12,100,0.5,85.375,14.625,0.0,0.25
blackscholes,0,311.62,100,0.5,86.9375,13.0625,0.0,0.25
blackscholes,1,311.62,100,0.5,84.75,15.25,0.0,0.25
blackscholes,2,311.62,100,0.5,85.6875,14.3125,0.0,0.25
blackscholes,3,311.62,100,0.5,85.75,14.25,0.0,0.25
blackscholes,0,312.12,100,0.5,87.25,12.75,0.0,0.25
blackscholes,1,312.12,100,0.5,85.6875,14.3125,0.0,0.25
blackscholes,2,312.12,100,0.5,85.125,14.875,0.0,0.25
blackscholes,3,312.12,100,0.5,85.0625,14.9375,0.0,0.25
blackscholes,0,312.62,100,0.5,85.625,14.375,0.0,0.25
blackscholes,1,312.62,100,0.5,86.75,13.25,0.0,0.25
blackscholes,2,312.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,312.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,313.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,313.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,313.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,313.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,313.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,313.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,313.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,313.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,314.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,314.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,314.12,100,0.25,0.0,0.0,0.0,0.25
