bench,layer,T_ref,loop,defected,virtual,serial,disable,redundant
blackscholes,0,308.62,100,0.75,2.125,97.875,0.0,0.0
blackscholes,1,308.62,100,0.75,2.4375,97.5625,0.0,0.0
blackscholes,2,308.62,100,0.75,2.25,97.75,0.0,0.0
blackscholes,3,308.62,100,0.75,2.625,97.375,0.0,0.0
blackscholes,0,309.12,100,0.75,2.0625,97.9375,0.0,0.0
blackscholes,1,309.12,100,0.75,2.1875,97.8125,0.0,0.0
blackscholes,2,309.12,100,0.75,2.25,97.75,0.0,0.0
blackscholes,3,309.12,100,0.5,48.25,51.75,0.0,0.0
blackscholes,0,309.62,100,0.5,47.25,52.75,0.0,0.0
blackscholes,1,309.62,100,0.5,48.375,51.625,0.0,0.0
blackscholes,2,309.62,100,0.5,48.0,52.0,0.0,0.0
blackscholes,3,309.62,100,0.5,48.4375,51.5625,0.0,0.0
blackscholes,0,310.12,100,0.5,48.875,51.125,0.0,0.0
blackscholes,1,310.12,100,0.5,49.0,51.0,0.0,0.0
blackscholes,2,310.12,100,0.5,48.3125,51.6875,0.0,0.0
blackscholes,3,310.12,100,0.5,48.8125,51.1875,0.0,0.0
blackscholes,0,310.62,100,0.5,48.5625,51.4375,0.0,0.0
blackscholes,1,310.62,100,0.5,48.4375,51.5625,0.0,0.0
blackscholes,2,310.62,100,0.5,49.0625,50.9375,0.0,0.0
blackscholes,3,310.62,100,0.5,48.875,51.125,0.0,0.0
blackscholes,0,311.12,100,0.5,48.625,51.375,0.0,0.0
blackscholes,1,311.12,100,0.5,48.5,51.5,0.0,0.0
blackscholes,2,311.12,100,0.5,48.1875,51.8125,0.0,0.0
blackscholes,3,311.12,100,0.5,46.875,53.125,0.0,0.0
blackscholes,0,311.62,100,0.5,47.5,52.5,0.0,0.0
blackscholes,1,311.62,100,0.5,47.875,52.125,0.0,0.0
blackscholes,2,311.62,100,0.5,47.9375,52.0625,0.0,0.0
blackscholes,3,311.62,100,0.5,48.0625,51.9375,0.0,0.0
blackscholes,0,312.12,100,0.5,48.75,51.25,0.0,0.0
blackscholes,1,312.12,100,0.5,49.0,51.0,0.0,0.0
blackscholes,2,312.12,100,0.5,50.875,49.125,0.0,0.0
blackscholes,3,312.12,100,0.5,49.3125,50.6875,0.0,0.0
blackscholes,0,312.62,100,0.5,49.25,50.75,0.0,0.0
blackscholes,1,312.62,100,0.5,48.3125,51.6875,0.0,0.0
blackscholes,2,312.62,100,0.25,97.0625,2.9375,0.0,0.0
blackscholes,3,312.62,100,0.25,97.625,2.375,0.0,0.0
blackscholes,0,313.12,100,0.25,96.75,3.25,0.0,0.0
blackscholes,1,313.12,100,0.25,97.1875,2.8125,0.0,0.0
blackscholes,2,313.12,100,0.25,98.0625,1.9375,0.0,0.0
blackscholes,3,313.12,100,0.25,98.25,1.75,0.0,0.0
blackscholes,0,313.62,100,0.25,97.625,2.375,0.0,0.0
blackscholes,1,313.62,100,0.25,97.75,2.25,0.0,0.0
blackscholes,2,313.62,100,0.25,97.9375,2.0625,0.0,0.0
blackscholes,3,313.62,100,0.25,97.75,2.25,0.0,0.0
blackscholes,0,314.12,100,0.25,97.5,2.5,0.0,0.0
blackscholes,1,314.12,100,0.25,97.6875,2.3125,0.0,0.0
blackscholes,2,314.12,100,0.25,97.5,2.5,0.0,0.0
blackscholes,3,314.12,100,0.25,97.8125,2.1875,0.0,0.0
blackscholes,0,314.62,100,0.25,97.1875,2.8125,0.0,0.0
blackscholes,1,314.62,100,0.25,97.6875,2.3125,0.0,0.0
blackscholes,2,314.62,100,0.25,97.5625,2.4375,0.0,0.0
blackscholes,3,314.62,100,0.25,97.5,2.5,0.0,0.0
blackscholes,0,315.12,100,0.25,97.875,2.125,0.0,0.0
blackscholes,1,315.12,100,0.25,97.5,2.5,0.0,0.0
