bench,layer,T_ref,loop,defected,virtual,serial,disable,redundant
blackscholes,0,308.62,100,0.75,18.0625,80.0625,0.0,0.25
blackscholes,1,308.62,100,0.75,17.3125,80.6875,0.0,0.25
blackscholes,2,308.62,100,0.75,18.5,79.75,0.0,0.25
blackscholes,3,308.62,100,0.75,16.75,81.4375,0.0,0.25
blackscholes,0,309.12,100,0.75,18.1875,79.75,0.0,0.25
blackscholes,1,309.12,100,0.75,16.9375,80.5,0.0,0.25
blackscholes,2,309.12,100,0.75,18.3125,79.3125,0.0,0.25
blackscholes,3,309.12,100,0.5,56.125,14.75,0.1875,0.25
blackscholes,0,309.62,100,0.5,57.375,13.8125,0.25,0.25
blackscholes,1,309.62,100,0.5,57.75,13.375,0.3125,0.25
blackscholes,2,309.62,100,0.5,56.375,15.0625,0.0,0.25
blackscholes,3,309.62,100,0.5,55.9375,14.6875,0.3125,0.25
blackscholes,0,310.12,100,0.5,56.25,14.5,0.125,0.25
blackscholes,1,310.12,100,0.5,57.3125,14.25,0.1875,0.25
blackscholes,2,310.12,100,0.5,55.875,14.5,0.125,0.25
blackscholes,3,310.12,100,0.5,57.75,13.9375,0.0,0.25
blackscholes,0,310.62,100,0.5,57.5625,13.9375,0.25,0.25
blackscholes,1,310.62,100,0.5,55.6875,13.75,0.5625,0.25
blackscholes,2,310.62,100,0.5,55.9375,14.8125,0.1875,0.25
blackscholes,3,310.62,100,0.5,57.5,13.875,0.1875,0.25
blackscholes,0,311.12,100,0.5,56.5625,15.0,0.25,0.25
blackscholes,1,311.12,100,0.5,55.9375,14.75,0.25,0.25
blackscholes,2,311.12,100,0.5,55.375,15.125,0.25,0.25
blackscholes,3,311.12,100,0.5,55.8125,14.4375,0.0625,0.25
blackscholes,0,311.62,100,0.5,56.4375,14.8125,0.25,0.25
blackscholes,1,311.62,100,0.5,56.5625,14.5625,0.5625,0.25
blackscholes,2,311.62,100,0.5,57.375,14.375,0.25,0.25
blackscholes,3,311.62,100,0.5,55.375,14.5,0.4375,0.25
blackscholes,0,312.12,100,0.5,56.5,14.3125,0.1875,0.25
blackscholes,1,312.12,100,0.5,56.3125,13.0,0.5625,0.25
blackscholes,2,312.12,100,0.5,57.0,13.4375,0.0625,0.25
blackscholes,3,312.12,100,0.5,55.8125,15.0,0.375,0.25
blackscholes,0,312.62,100,0.5,56.375,13.5625,0.3125,0.25
blackscholes,1,312.62,100,0.5,55.9375,15.0625,0.4375,0.25
blackscholes,2,312.62,100,0.25,32.0,0.0625,0.0,0.25
blackscholes,3,312.62,100,0.25,31.5,0.0625,0.0,0.25
blackscholes,0,313.12,100,0.25,30.625,0.375,0.0,0.25
blackscholes,1,313.12,100,0.25,31.5,0.25,0.0,0.25
blackscholes,2,313.12,100,0.25,31.5625,0.0,0.0625,0.25
blackscholes,3,313.12,100,0.25,31.8125,0.1875,0.0,0.25
blackscholes,0,313.62,100,0.25,31.625,0.0,0.0,0.25
blackscholes,1,313.62,100,0.25,32.375,0.0625,0.0,0.25
blackscholes,2,313.62,100,0.25,32.1875,0.0625,0.0,0.25
blackscholes,3,313.62,100,0.25,32.375,0.125,0.0,0.25
blackscholes,0,314.12,100,0.25,31.875,0.125,0.0625,0.25
blackscholes,1,314.12,100,0.25,32.0,0.125,0.0,0.25
blackscholes,2,314.12,100,0.25,32.5625,0.125,0.0,0.25
blackscholes,3,314.12,100,0.25,32.125,0.125,0.0,0.25
blackscholes,0,314.62,100,0.25,32.125,0.0,0.0,0.25
blackscholes,1,314.62,100,0.25,32.6875,0.0,0.0625,0.25
blackscholes,2,314.62,100,0.25,31.6875,0.1875,0.0,0.25
blackscholes,3,314.62,100,0.25,32.5,0.125,0.0,0.25
blackscholes,0,315.12,100,0.25,31.75,0.0625,0.0,0.25
blackscholes,1,315.12,100,0.25,31.875,0.125,0.0625,0.25
blackscholes,2,315.12,100,0.25,33.0625,0.0625,0.0,0.25
blackscholes,3,315.12,100,0.25,32.4375,0.0625,0.0,0.25
blackscholes,0,315.62,100,0.25,31.875,0.125,0.0,0.25
blackscholes,1,315.62,100,0.25,31.9375,0.125,0.0,0.25
blackscholes,2,315.62,100,0.25,31.5625,0.1875,0.0,0.25
blackscholes,3,315.62,100,0.25,32.4375,0.125,0.0,0.25
blackscholes,0,316.12,100,0.25,32.125,0.0,0.0,0.25
blackscholes,1,316.12,100,0.25,31.4375,0.0,0.0,0.25
blackscholes,2,316.12,100,0.25,31.9375,0.0625,0.0,0.25
blackscholes,3,316.12,100,0.25,32.6875,0.0,0.0625,0.25
blackscholes,0,316.62,100,0.25,32.3125,0.0625,0.0,0.25
blackscholes,1,316.62,100,0.25,32.1875,0.0625,0.0,0.25
blackscholes,2,316.62,100,0.25,31.875,0.125,0.0,0.25
blackscholes,3,316.62,100,0.25,32.0,0.0625,0.0,0.25
blackscholes,0,317.12,100,0.25,32.5,0.0625,0.0625,0.25
blackscholes,1,317.12,100,0.25,32.6875,0.125,0.0,0.25
blackscholes,2,317.12,100,0.25,31.5,0.0625,0.0,0.25
blackscholes,3,317.12,100,0.25,31.5625,0.0,0.0,0.25
blackscholes,0,317.62,100,0.25,31.75,0.125,0.0,0.25
blackscholes,1,317.62,100,0.25,30.6875,0.0625,0.0,0.25
blackscholes,2,317.62,100,0.25,32.375,0.0,0.0,0.25
blackscholes,3,317.62,100,0.25,31.75,0.0,0.0,0.25
blackscholes,0,318.12,100,0.25,32.125,0.0625,0.0,0.25
blackscholes,1,318.12,100,0.25,32.5625,0.0,0.0,0.25
blackscholes,2,318.12,100,0.25,31.5,0.1875,0.0,0.25
blackscholes,3,318.12,100,0.25,31.875,0.0625,0.0,0.25
blackscholes,0,318.62,100,0.25,32.0,0.125,0.0,0.25
blackscholes,1,318.62,100,0.171875,20.125,0.0,0.25,0.25
blackscholes,2,318.62,100,0.0,0.0,0.0,0.0,0.25
blackscholes,3,318.62,100,0.0,0.0,0.0,0.0,0.25
canneal,0,309.98,100,0.75,17.9375,80.125,0.0,0.25
canneal,1,309.98,100,0.75,18.1875,79.5,0.0,0.25
canneal,2,309.98,100,0.75,17.875,80.1875,0.0,0.25
canneal,3,309.98,100,0.5,56.4375,15.1875,0.375,0.25
canneal,0,310.48,100,0.75,18.1875,79.8125,0.0,0.25
