bench,layer,T_ref,loop,defected,virtual,serial,disable,redundant
blackscholes,0,308.62,100,0.75,8.625,67.3125,0.0,0.5
blackscholes,1,308.62,100,0.75,8.0625,68.125,0.0,0.5
blackscholes,2,308.62,100,0.75,8.0,68.4375,0.0,0.5
blackscholes,3,308.62,100,0.75,8.75,68.375,0.0,0.5
blackscholes,0,309.12,100,0.75,8.1875,67.75,0.0,0.5
blackscholes,1,309.12,100,0.75,8.4375,68.375,0.0,0.5
blackscholes,2,309.12,100,0.75,8.8125,67.375,0.0,0.5
blackscholes,3,309.12,100,0.5,13.4375,8.8125,0.0,0.5
blackscholes,0,309.62,100,0.5,12.25,9.625,0.0,0.5
blackscholes,1,309.62,100,0.5,12.625,10.3125,0.0,0.5
blackscholes,2,309.62,100,0.5,13.375,8.625,0.0,0.5
blackscholes,3,309.62,100,0.5,12.625,10.3125,0.0,0.5
blackscholes,0,310.12,100,0.5,12.75,8.9375,0.0,0.5
blackscholes,1,310.12,100,0.5,11.5625,10.5,0.0,0.5
blackscholes,2,310.12,100,0.5,12.875,9.25,0.0,0.5
blackscholes,3,310.12,100,0.5,12.5625,9.75,0.0,0.5
blackscholes,0,310.62,100,0.5,13.4375,8.8125,0.0,0.5
blackscholes,1,310.62,100,0.5,14.0,8.875,0.0,0.5
blackscholes,2,310.62,100,0.5,13.0625,9.5,0.0,0.5
blackscholes,3,310.62,100,0.5,13.1875,9.125,0.0,0.5
blackscholes,0,311.12,100,0.5,13.125,9.625,0.0,0.5
blackscholes,1,311.12,100,0.5,11.4375,9.5625,0.0,0.5
blackscholes,2,311.12,100,0.5,14.0,8.5625,0.0,0.5
blackscholes,3,311.12,100,0.5,13.3125,8.875,0.0,0.5
blackscholes,0,311.62,100,0.5,13.8125,8.6875,0.0,0.5
blackscholes,1,311.62,100,0.5,12.5,8.4375,0.0,0.5
blackscholes,2,311.62,100,0.5,13.1875,9.3125,0.0,0.5
blackscholes,3,311.62,100,0.5,12.875,8.9375,0.0,0.5
blackscholes,0,312.12,100,0.5,13.125,8.375,0.0,0.5
blackscholes,1,312.12,100,0.5,11.8125,9.75,0.0,0.5
blackscholes,2,312.12,100,0.5,13.25,8.8125,0.0,0.5
blackscholes,3,312.12,100,0.5,12.6875,9.1875,0.0,0.5
blackscholes,0,312.62,100,0.5,13.375,8.0625,0.0,0.5
blackscholes,1,312.62,100,0.5,14.125,9.0,0.0,0.5
blackscholes,2,312.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,312.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,313.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,313.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,313.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,313.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,313.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,313.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,313.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,313.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,314.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,314.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,314.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,314.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,314.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,314.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,314.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,314.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,315.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,315.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,315.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,315.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,315.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,315.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,315.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,315.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,316.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,316.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,316.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,316.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,316.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,316.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,316.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,316.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,317.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,317.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,317.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,317.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,317.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,317.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,317.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,317.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,318.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,318.12,100,0.25,0.0,0.0,0.0,0.25
