bench,layer,T_ref,loop,defected,virtual,serial,disable,redundant
blackscholes,0,308.62,100,0.75,1.375,98.125,0.0,0.25
blackscholes,1,308.62,100,0.75,1.5,98.0625,0.0,0.25
blackscholes,2,308.62,100,0.75,1.875,97.625,0.0,0.25
blackscholes,3,308.62,100,0.75,1.625,98.25,0.0,0.25
blackscholes,0,309.12,100,0.75,1.25,98.0625,0.0,0.25
blackscholes,1,309.12,100,0.75,1.375,98.0,0.0,0.25
blackscholes,2,309.12,100,0.75,1.3125,98.0,0.0,0.25
blackscholes,3,309.12,100,0.5,36.25,50.8125,0.0,0.25
blackscholes,0,309.62,100,0.5,34.9375,51.75,0.0,0.25
blackscholes,1,309.62,100,0.5,33.25,52.5625,0.0,0.25
blackscholes,2,309.62,100,0.5,34.5,51.6875,0.0,0.25
blackscholes,3,309.62,100,0.5,36.6875,50.5,0.0,0.25
blackscholes,0,310.12,100,0.5,36.3125,50.875,0.0,0.25
blackscholes,1,310.12,100,0.5,35.4375,52.5625,0.0,0.25
blackscholes,2,310.12,100,0.5,36.25,49.5,0.0,0.25
blackscholes,3,310.12,100,0.5,34.625,52.1875,0.0,0.25
blackscholes,0,310.62,100,0.5,34.4375,52.4375,0.0,0.25
blackscholes,1,310.62,100,0.5,36.25,50.375,0.0,0.25
blackscholes,2,310.62,100,0.5,35.125,51.875,0.0,0.25
blackscholes,3,310.62,100,0.5,35.125,50.375,0.0,0.25
blackscholes,0,311.12,100,0.5,35.6875,51.1875,0.0,0.25
blackscholes,1,311.12,100,0.5,35.375,51.1875,0.0,0.25
blackscholes,2,311.12,100,0.5,33.9375,51.875,0.0,0.25
blackscholes,3,311.12,100,0.5,34.1875,52.375,0.0,0.25
blackscholes,0,311.62,100,0.5,34.125,52.375,0.0,0.25
blackscholes,1,311.62,100,0.5,36.3125,49.0,0.0,0.25
blackscholes,2,311.62,100,0.5,33.9375,52.8125,0.0,0.25
blackscholes,3,311.62,100,0.5,33.6875,52.125,0.0,0.25
blackscholes,0,312.12,100,0.5,35.25,51.625,0.0,0.25
blackscholes,1,312.12,100,0.5,34.3125,51.625,0.0,0.25
blackscholes,2,312.12,100,0.5,36.3125,50.6875,0.0,0.25
blackscholes,3,312.12,100,0.5,34.0625,52.1875,0.0,0.25
blackscholes,0,312.62,100,0.5,34.125,51.125,0.0,0.25
blackscholes,1,312.62,100,0.5,35.375,51.0625,0.0,0.25
blackscholes,2,312.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,312.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,313.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,313.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,313.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,313.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,313.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,313.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,313.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,313.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,314.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,314.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,314.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,314.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,314.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,314.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,314.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,314.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,315.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,315.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,315.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,315.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,315.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,315.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,315.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,315.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,316.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,316.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,316.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,316.12,100,0.25,0.0,0.0,0.0,0.25
blackscholes,0,316.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,1,316.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,2,316.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,316.62,100,0.25,0.0,0.0,0.0,0.25
