bench,layer,T_ref,loop,defected,virtual,serial,disable,redundant
blackscholes,0,308.62,100,0.75,1.8125,97.875,0.0,0.0
blackscholes,1,308.62,100,0.75,1.75,97.5625,0.0,0.0
blackscholes,2,308.62,100,0.75,1.75,97.75,0.0,0.0
blackscholes,3,308.62,100,0.75,2.0,97.375,0.0,0.0
blackscholes,0,309.12,100,0.75,1.5625,97.9375,0.0,0.0
blackscholes,1,309.12,100,0.75,1.75,97.8125,0.0,0.0
blackscholes,2,309.12,100,0.75,1.5625,97.75,0.0,0.0
blackscholes,3,309.12,100,0.5,34.9375,51.75,0.0,0.0
blackscholes,0,309.62,100,0.5,33.6875,52.75,0.0,0.0
blackscholes,1,309.62,100,0.5,34.625,51.625,0.0,0.0
blackscholes,2,309.62,100,0.5,33.75,52.0,0.0,0.0
blackscholes,3,309.62,100,0.5,34.8125,51.5625,0.0,0.0
blackscholes,0,310.12,100,0.5,34.5625,51.125,0.0,0.0
blackscholes,1,310.12,100,0.5,35.375,51.0,0.0,0.0
blackscholes,2,310.12,100,0.5,33.75,51.6875,0.0,0.0
blackscholes,3,310.12,100,0.5,34.625,51.1875,0.0,0.0
blackscholes,0,310.62,100,0.5,33.75,51.4375,0.0,0.0
blackscholes,1,310.62,100,0.5,34.875,51.5625,0.0,0.0
blackscholes,2,310.62,100,0.5,34.5625,50.9375,0.0,0.0
blackscholes,3,310.62,100,0.5,34.9375,51.125,0.0,0.0
blackscholes,0,311.12,100,0.5,35.875,51.375,0.0,0.0
blackscholes,1,311.12,100,0.5,34.6875,51.5,0.0,0.0
blackscholes,2,311.12,100,0.5,34.9375,51.8125,0.0,0.0
blackscholes,3,311.12,100,0.5,32.9375,53.125,0.0,0.0
blackscholes,0,311.62,100,0.5,33.125,52.5,0.0,0.0
blackscholes,1,311.62,100,0.5,33.6875,52.125,0.0,0.0
blackscholes,2,311.62,100,0.5,33.875,52.0625,0.0,0.0
blackscholes,3,311.62,100,0.5,33.75,51.9375,0.0,0.0
blackscholes,0,312.12,100,0.5,33.875,51.25,0.0,0.0
blackscholes,1,312.12,100,0.5,34.75,51.0,0.0,0.0
blackscholes,2,312.12,100,0.5,36.0625,49.125,0.0,0.0
blackscholes,3,312.12,100,0.5,35.125,50.6875,0.0,0.0
blackscholes,0,312.62,100,0.5,35.5625,50.75,0.0,0.0
blackscholes,1,312.62,100,0.5,32.25,51.6875,0.0,0.0
blackscholes,2,312.62,100,0.25,61.4375,2.9375,1.375,0.0
blackscholes,3,312.62,100,0.25,59.6875,2.375,1.3125,0.0
blackscholes,0,313.12,100,0.25,59.6875,3.25,1.5625,0.0
blackscholes,1,313.12,100,0.25,60.0625,2.8125,1.1875,0.0
blackscholes,2,313.12,100,0.25,60.625,1.9375,1.6875,0.0
blackscholes,3,313.12,100,0.25,58.875,1.75,1.5,0.0
blackscholes,0,313.62,100,0.25,60.5625,2.375,1.0625,0.0
blackscholes,1,313.62,100,0.25,59.3125,2.25,1.5,0.0
blackscholes,2,313.62,100,0.25,61.9375,2.0625,1.125,0.0
blackscholes,3,313.62,100,0.25,61.5,2.25,1.1875,0.0
blackscholes,0,314.12,100,0.25,61.25,2.5,1.0625,0.0
blackscholes,1,314.12,100,0.25,60.5,2.3125,0.9375,0.0
blackscholes,2,314.12,100,0.25,59.1875,2.5,1.9375,0.0
blackscholes,3,314.12,100,0.25,60.25,2.1875,1.0625,0.0
blackscholes,0,314.62,100,0.25,59.6875,2.8125,1.25,0.0
blackscholes,1,314.62,100,0.25,60.125,2.3125,1.625,0.0
blackscholes,2,314.62,100,0.25,60.5,2.4375,1.5,0.0
blackscholes,3,314.62,100,0.25,59.8125,2.5,1.375,0.0
blackscholes,0,315.12,100,0.25,59.875,2.125,1.4375,0.0
blackscholes,1,315.12,100,0.25,60.0,2.5,1.5625,0.0
blackscholes,2,315.12,100,0.25,60.625,2.6875,1.5,0.0
blackscholes,3,315.12,100,0.25,60.125,2.4375,1.875,0.0
blackscholes,0,315.62,100,0.25,60.3125,1.8125,1.1875,0.0
blackscholes,1,315.62,100,0.25,61.3125,2.375,1.375,0.0
blackscholes,2,315.62,100,0.25,60.0625,2.625,1.3125,0.0
blackscholes,3,315.62,100,0.25,59.3125,2.125,1.375,0.0
blackscholes,0,316.12,100,0.25,60.25,2.0,1.1875,0.0
blackscholes,1,316.12,100,0.25,60.625,1.75,1.5625,0.0
blackscholes,2,316.12,100,0.25,60.875,2.25,1.0,0.0
blackscholes,3,316.12,100,0.25,59.5,2.875,1.3125,0.0
blackscholes,0,316.62,100,0.25,60.6875,2.5,1.0625,0.0
blackscholes,1,316.62,100,0.25,60.0625,2.4375,1.375,0.0
blackscholes,2,316.62,100,0.25,59.75,2.8125,1.3125,0.0
blackscholes,3,316.62,100,0.25,60.8125,2.1875,0.9375,0.0
blackscholes,0,317.12,100,0.25,60.3125,2.1875,1.5,0.0
blackscholes,1,317.12,100,0.25,60.8125,2.625,1.6875,0.0
blackscholes,2,317.12,100,0.25,59.875,2.5,1.0625,0.0
blackscholes,3,317.12,100,0.25,61.3125,2.3125,1.25,0.0
blackscholes,0,317.62,100,0.25,62.3125,2.3125,0.6875,0.0
blackscholes,1,317.62,100,0.25,60.375,2.375,1.75,0.0
blackscholes,2,317.62,100,0.25,59.6875,1.75,1.75,0.0
blackscholes,3,317.62,100,0.25,60.75,2.3125,1.9375,0.0
blackscholes,0,318.12,100,0.25,60.0625,2.625,1.3125,0.0
blackscholes,1,318.12,100,0.25,61.625,2.4375,1.1875,0.0
blackscholes,2,318.12,100,0.25,60.8125,2.6875,1.75,0.0
blackscholes,3,318.12,100,0.25,58.875,2.5625,1.375,0.0
blackscholes,0,318.62,100,0.25,60.25,2.875,1.625,0.0
blackscholes,1,318.62,100,0.171875,42.75,0.9375,4.5625,0.0
blackscholes,2,318.62,100,0.0,0.0,0.0,0.0,0.0
blackscholes,3,318.62,100,0.0,0.0,0.0,0.0,0.0
canneal,0,309.98,100,0.75,1.75,97.6875,0.0,0.0
canneal,1,309.98,100,0.75,1.75,97.8125,0.0,0.0
canneal,2,309.98,100,0.75,1.375,98.1875,0.0,0.0
canneal,3,309.98,100,0.5,35.125,51.0625,0.0,0.0
canneal,0,310.48,100,0.75,1.75,97.875,0.0,0.0
canneal,1,310.48,100,0.75,1.5625,98.125,0.0,0.0
canneal,2,310.48,100,0.5,34.6875,52.125,0.0,0.0
canneal,3,310.48,100,0.5,33.1875,52.25,0.0,0.0
canneal,0,310.98,100,0.65625,11.1875,86.25,0.0,0.0
canneal,1,310.98,100,0.5,35.5,50.9375,0.0,0.0
canneal,2,310.98,100,0.5,35.8125,50.625,0.0,0.0
canneal,3,310.98,100,0.5,34.1875,51.0625,0.0,0.0
canneal,0,311.48,100,0.5,34.5625,50.625,0.0,0.0
canneal,1,311.48,100,0.5,35.4375,50.1875,0.0,0.0
canneal,2,311.48,100,0.5,35.5,50.8125,0.0,0.0
canneal,3,311.48,100,0.5,35.625,50.8125,0.0,0.0
canneal,0,311.98,100,0.5,34.625,50.5625,0.0,0.0
canneal,1,311.98,100,0.5,33.3125,52.375,0.0,0.0
canneal,2,311.98,100,0.5,35.0625,51.375,0.0,0.0
canneal,3,311.98,100,0.5,33.8125,52.125,0.0,0.0
canneal,0,312.48,100,0.5,34.9375,51.0625,0.0,0.0
canneal,1,312.48,100,0.5,34.8125,50.5,0.0,0.0
canneal,2,312.48,100,0.5,35.1875,50.5,0.0,0.0
canneal,3,312.48,100,0.5,34.875,51.3125,0.0,0.0
canneal,0,312.98,100,0.5,33.6875,51.4375,0.0,0.0
canneal,1,312.98,100,0.5,33.9375,52.3125,0.0,0.0
canneal,2,312.98,100,0.5,33.4375,51.6875,0.0,0.0
canneal,3,312.98,100,0.5,35.6875,50.6875,0.0,0.0
canneal,0,313.48,100,0.5,35.25,50.375,0.0,0.0
canneal,1,313.48,100,0.5,34.0625,51.4375,0.0,0.0
canneal,2,313.48,100,0.5,34.1875,52.0625,0.0,0.0
canneal,3,313.48,100,0.25,60.0,1.8125,1.625,0.0
canneal,0,313.98,100,0.5,33.0625,52.4375,0.0,0.0
canneal,1,313.98,100,0.453125,44.5625,37.75,0.0,0.0
canneal,2,313.98,100,0.25,58.4375,2.5625,2.125,0.0
canneal,3,313.98,100,0.25,59.8125,2.5,1.125,0.0
canneal,0,314.48,100,0.375,46.1875,24.0,0.0,0.0
canneal,1,314.48,100,0.25,61.125,1.8125,1.875,0.0
canneal,2,314.48,100,0.25,60.8125,2.375,1.3125,0.0
canneal,3,314.48,100,0.25,60.0,3.125,1.6875,0.0
canneal,0,314.98,100,0.25,60.4375,1.9375,1.6875,0.0
canneal,1,314.98,100,0.25,59.9375,2.5625,1.8125,0.0
canneal,2,314.98,100,0.25,61.3125,2.0625,1.1875,0.0
canneal,3,314.98,100,0.25,60.375,2.5625,1.6875,0.0
canneal,0,315.48,100,0.25,60.25,2.25,1.625,0.0
canneal,1,315.48,100,0.25,61.5625,1.625,1.5,0.0
canneal,2,315.48,100,0.25,59.4375,2.9375,1.5625,0.0
canneal,3,315.48,100,0.25,60.25,2.8125,1.125,0.0
canneal,0,315.98,100,0.25,60.9375,2.0625,1.125,0.0
canneal,1,315.98,100,0.25,60.0625,2.0625,1.3125,0.0
canneal,2,315.98,100,0.25,60.75,2.625,1.125,0.0
canneal,3,315.98,100,0.25,61.1875,2.0625,1.1875,0.0
canneal,0,316.48,100,0.25,59.6875,2.5,1.4375,0.0
canneal,1,316.48,100,0.25,61.25,2.375,1.0625,0.0
canneal,2,316.48,100,0.25,60.6875,2.875,1.4375,0.0
canneal,3,316.48,100,0.25,60.625,1.8125,1.6875,0.0
canneal,0,316.98,100,0.25,61.3125,2.75,1.4375,0.0
canneal,1,316.98,100,0.25,59.6875,3.0625,0.9375,0.0
canneal,2,316.98,100,0.25,60.125,3.0,1.3125,0.0
canneal,3,316.98,100,0.25,59.875,3.5625,1.25,0.0
canneal,0,317.48,100,0.25,60.75,2.6875,1.1875,0.0
canneal,1,317.48,100,0.25,60.5625,2.0625,1.375,0.0
canneal,2,317.48,100,0.25,60.9375,2.3125,1.375,0.0
canneal,3,317.48,100,0.25,61.3125,1.9375,1.3125,0.0
canneal,0,317.98,100,0.25,60.0,2.0,1.9375,0.0
canneal,1,317.98,100,0.25,61.0625,2.0625,1.5625,0.0
canneal,2,317.98,100,0.25,60.6875,2.0625,1.5625,0.0
canneal,3,317.98,100,0.25,61.1875,1.875,1.5625,0.0
canneal,0,318.48,100,0.25,59.8125,3.0625,1.375,0.0
canneal,1,318.48,100,0.25,62.0625,2.375,1.0625,0.0
canneal,2,318.48,100,0.25,60.8125,2.75,1.6875,0.0
canneal,3,318.48,100,0.25,61.0,2.4375,1.1875,0.0
canneal,0,318.98,100,0.25,60.9375,2.3125,1.0625,0.0
canneal,1,318.98,100,0.25,61.0625,1.6875,0.875,0.0
canneal,2,318.98,100,0.25,58.6875,2.875,1.5,0.0
canneal,3,318.98,100,0.25,61.6875,1.5625,1.375,0.0
canneal,0,319.48,100,0.25,60.625,3.125,1.3125,0.0
canneal,1,319.48,100,0.25,60.6875,2.5,1.3125,0.0
canneal,2,319.48,100,0.25,60.4375,3.0625,1.0625,0.0
canneal,3,319.48,100,0.0,0.0,0.0,0.0,0.0
canneal,0,319.98,100,0.25,60.5,2.4375,1.25,0.0
canneal,1,319.98,100,0.234375,56.375,1.375,3.8125,0.0
canneal,2,319.98,100,0.0,0.0,0.0,0.0,0.0
canneal,3,319.98,100,0.0,0.0,0.0,0.0,0.0
dedup,0,308.93,100,0.75,1.5,97.875,0.0,0.0
dedup,1,308.93,100,0.75,1.625,97.8125,0.0,0.0
dedup,2,308.93,100,0.75,1.5625,97.6875,0.0,0.0
dedup,3,308.93,100,0.75,1.1875,98.1875,0.0,0.0
dedup,0,309.43,100,0.75,1.9375,97.5625,0.0,0.0
dedup,1,309.43,100,0.75,1.25,98.3125,0.0,0.0
dedup,2,309.43,100,0.71875,4.875,94.75,0.0,0.0
dedup,3,309.43,100,0.5,32.375,52.75,0.0,0.0
dedup,0,309.93,100,0.5,34.6875,50.9375,0.0,0.0
dedup,1,309.93,100,0.5,34.3125,51.1875,0.0,0.0
dedup,2,309.93,100,0.5,34.25,51.6875,0.0,0.0
dedup,3,309.93,100,0.5,33.4375,53.0,0.0,0.0
dedup,0,310.43,100,0.5,33.9375,52.0625,0.0,0.0
dedup,1,310.43,100,0.5,34.6875,51.6875,0.0,0.0
