bench,layer,T_ref,loop,defected,virtual,serial,disable,redundant
blackscholes,0,312.62,100,0.5,62.0,13.0,0.0,0.25
blackscholes,1,312.62,100,0.5,60.8125,14.1875,0.0,0.25
blackscholes,2,312.62,100,0.25,1.6875,0.0625,0.0,0.25
blackscholes,3,312.62,100,0.25,1.875,0.0625,0.0,0.25
canneal,0,313.98,100,0.5,60.875,14.125,0.0,0.25
canneal,1,313.98,100,0.453125,45.9375,11.25,0.0,0.25
canneal,2,313.98,100,0.25,1.6875,0.0,0.0,0.25
canneal,3,313.98,100,0.25,1.625,0.25,0.0,0.25
dedup,0,312.93,100,0.5,61.1875,13.8125,0.0,0.25
dedup,1,312.93,100,0.5,61.3125,13.6875,0.0,0.25
dedup,2,312.93,100,0.25,1.3125,0.125,0.0,0.25
dedup,3,312.93,100,0.25,1.75,0.125,0.0,0.25
facesim,0,313.12,100,0.5,61.25,13.75,0.0,0.25
facesim,1,313.12,100,0.5,61.25,13.75,0.0,0.25
facesim,2,313.12,100,0.25,2.125,0.0,0.0,0.25
facesim,3,313.12,100,0.25,1.3125,0.125,0.0,0.25
ferret,0,312.78,100,0.5,60.875,14.125,0.0,0.25
ferret,1,312.78,100,0.5,60.9375,14.0625,0.0,0.25
ferret,2,312.78,100,0.25,1.1875,0.25,0.0,0.25
ferret,3,312.78,100,0.25,2.375,0.1875,0.0,0.25
fluidanimate,0,312.63,100,0.5,60.5625,14.4375,0.0,0.25
fluidanimate,1,312.63,100,0.5,60.375,14.625,0.0,0.25
fluidanimate,2,312.63,100,0.25,1.75,0.0625,0.0,0.25
fluidanimate,3,312.63,100,0.25,2.0625,0.0625,0.0,0.25
swaptions,0,312.52,100,0.5,61.75,13.25,0.0,0.25
swaptions,1,312.52,100,0.5,60.375,14.625,0.0,0.25
swaptions,2,312.52,100,0.5,60.625,14.375,0.0,0.25
swaptions,3,312.52,100,0.5,60.5,14.5,0.0,0.25
x264,0,312.72,100,0.5,61.4375,13.5625,0.0,0.25
x264,1,312.72,100,0.5,60.9375,14.0625,0.0,0.25
x264,2,312.72,100,0.25,2.375,0.0,0.0,0.25
x264,3,312.72,100,0.25,1.875,0.0625,0.0,0.25
hp5,0,319.11,100,0.5,61.25,13.75,0.0,0.25
hp5,1,319.11,100,0.5,61.0625,13.9375,0.0,0.25
hp5,2,319.11,100,0.25,1.5625,0.0,0.0,0.25
hp5,3,319.11,100,0.25,1.5,0.1875,0.0,0.25
hp10,0,316.29,100,0.5,62.375,12.625,0.0,0.25
hp10,1,316.29,100,0.5,60.375,14.625,0.0,0.25
hp10,2,316.29,100,0.34375,22.0,5.3125,0.0,0.25
hp10,3,316.29,100,0.25,1.75,0.1875,0.0,0.25
mat,0,317.48,100,0.5,60.9375,14.0625,0.0,0.25
mat,1,317.48,100,0.5,61.0625,13.9375,0.0,0.25
mat,2,317.48,100,0.25,1.9375,0.125,0.0,0.25
mat,3,317.48,100,0.25,1.5,0.0625,0.0,0.25
tran,0,323.06,100,0.5,60.625,14.375,0.0,0.25
tran,1,323.06,100,0.5,60.75,14.25,0.0,0.25
tran,2,323.06,100,0.25,2.3125,0.0,0.0,0.25
tran,3,323.06,100,0.25,2.0625,0.0625,0.0,0.25
unif,0,324.22,100,0.5,61.6875,13.3125,0.0,0.25
unif,1,324.22,100,0.5,61.375,13.625,0.0,0.25
unif,2,324.22,100,0.25,1.625,0.125,0.0,0.25
unif,3,324.22,100,0.25,1.75,0.0625,0.0,0.25
