bench,layer,T_ref,loop,defected,virtual,serial,disable,redundant
blackscholes,0,312.62,100,0.5,86.125,13.875,0.0,0.25
blackscholes,1,312.62,100,0.5,85.625,14.375,0.0,0.25
blackscholes,2,312.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,312.62,100,0.25,0.0,0.0,0.0,0.25
canneal,0,313.98,100,0.5,85.75,14.25,0.0,0.25
canneal,1,313.98,100,0.453125,71.4375,9.8125,0.0,0.25
canneal,2,313.98,100,0.25,0.0,0.0,0.0,0.25
canneal,3,313.98,100,0.25,0.0,0.0,0.0,0.25
dedup,0,312.93,100,0.5,85.6875,14.3125,0.0,0.25
dedup,1,312.93,100,0.5,86.125,13.875,0.0,0.25
dedup,2,312.93,100,0.25,0.0,0.0,0.0,0.25
dedup,3,312.93,100,0.25,0.0,0.0,0.0,0.25
facesim,0,313.12,100,0.5,85.25,14.75,0.0,0.25
facesim,1,313.12,100,0.5,87.5625,12.4375,0.0,0.25
facesim,2,313.12,100,0.25,0.0,0.0,0.0,0.25
facesim,3,313.12,100,0.25,0.0,0.0,0.0,0.25
ferret,0,312.78,100,0.5,85.5625,14.4375,0.0,0.25
ferret,1,312.78,100,0.5,86.5,13.5,0.0,0.25
ferret,2,312.78,100,0.25,0.0,0.0,0.0,0.25
ferret,3,312.78,100,0.25,0.0,0.0,0.0,0.25
fluidanimate,0,312.63,100,0.5,87.25,12.75,0.0,0.25
fluidanimate,1,312.63,100,0.5,85.8125,14.1875,0.0,0.25
fluidanimate,2,312.63,100,0.25,0.0,0.0,0.0,0.25
fluidanimate,3,312.63,100,0.25,0.0,0.0,0.0,0.25
swaptions,0,312.52,100,0.5,85.4375,14.5625,0.0,0.25
swaptions,1,312.52,100,0.5,86.25,13.75,0.0,0.25
swaptions,2,312.52,100,0.5,85.625,14.375,0.0,0.25
swaptions,3,312.52,100,0.5,87.4375,12.5625,0.0,0.25
x264,0,312.72,100,0.5,84.625,15.375,0.0,0.25
x264,1,312.72,100,0.5,85.5625,14.4375,0.0,0.25
x264,2,312.72,100,0.25,0.0,0.0,0.0,0.25
x264,3,312.72,100,0.25,0.0,0.0,0.0,0.25
hp5,0,319.11,100,0.5,85.5,14.5,0.0,0.25
hp5,1,319.11,100,0.5,86.3125,13.6875,0.0,0.25
hp5,2,319.11,100,0.25,0.0,0.0,0.0,0.25
hp5,3,319.11,100,0.25,0.0,0.0,0.0,0.25
hp10,0,316.29,100,0.5,86.5625,13.4375,0.0,0.25
hp10,1,316.29,100,0.5,86.375,13.625,0.0,0.25
hp10,2,316.29,100,0.34375,36.375,1.125,0.0,0.25
hp10,3,316.29,100,0.25,0.0,0.0,0.0,0.25
mat,0,317.48,100,0.5,86.1875,13.8125,0.0,0.25
mat,1,317.48,100,0.5,85.875,14.125,0.0,0.25
mat,2,317.48,100,0.25,0.0,0.0,0.0,0.25
mat,3,317.48,100,0.25,0.0,0.0,0.0,0.25
tran,0,323.06,100,0.5,86.125,13.875,0.0,0.25
tran,1,323.06,100,0.5,86.3125,13.6875,0.0,0.25
tran,2,323.06,100,0.25,0.0,0.0,0.0,0.25
tran,3,323.06,100,0.25,0.0,0.0,0.0,0.25
unif,0,324.22,100,0.5,86.0,14.0,0.0,0.25
unif,1,324.22,100,0.5,85.5625,14.4375,0.0,0.25
unif,2,324.22,100,0.25,0.0,0.0,0.0,0.25
unif,3,324.22,100,0.25,0.0,0.0,0.0,0.25
