bench,layer,T_ref,loop,defected,virtual,serial,disable,redundant
blackscholes,0,312.62,100,0.5,48.4375,51.5625,0.0,0.0
blackscholes,1,312.62,100,0.5,49.5625,50.4375,0.0,0.0
blackscholes,2,312.62,100,0.25,97.875,2.125,0.0,0.0
blackscholes,3,312.62,100,0.25,97.5625,2.4375,0.0,0.0
canneal,0,313.98,100,0.5,49.125,50.875,0.0,0.0
canneal,1,313.98,100,0.453125,62.3125,37.6875,0.0,0.0
canneal,2,313.98,100,0.25,97.3125,2.6875,0.0,0.0
canneal,3,313.98,100,0.25,97.5,2.5,0.0,0.0
dedup,0,312.93,100,0.5,47.375,52.625,0.0,0.0
dedup,1,312.93,100,0.5,47.8125,52.1875,0.0,0.0
dedup,2,312.93,100,0.25,97.375,2.625,0.0,0.0
dedup,3,312.93,100,0.25,97.125,2.875,0.0,0.0
facesim,0,313.12,100,0.5,48.625,51.375,0.0,0.0
facesim,1,313.12,100,0.5,47.3125,52.6875,0.0,0.0
facesim,2,313.12,100,0.25,97.4375,2.5625,0.0,0.0
facesim,3,313.12,100,0.25,97.6875,2.3125,0.0,0.0
ferret,0,312.78,100,0.5,49.75,50.25,0.0,0.0
ferret,1,312.78,100,0.5,48.625,51.375,0.0,0.0
ferret,2,312.78,100,0.25,96.5,3.5,0.0,0.0
ferret,3,312.78,100,0.25,97.625,2.375,0.0,0.0
fluidanimate,0,312.63,100,0.5,48.25,51.75,0.0,0.0
fluidanimate,1,312.63,100,0.5,47.75,52.25,0.0,0.0
fluidanimate,2,312.63,100,0.25,97.9375,2.0625,0.0,0.0
fluidanimate,3,312.63,100,0.25,97.0625,2.9375,0.0,0.0
swaptions,0,312.52,100,0.5,47.9375,52.0625,0.0,0.0
swaptions,1,312.52,100,0.5,48.5625,51.4375,0.0,0.0
swaptions,2,312.52,100,0.5,48.8125,51.1875,0.0,0.0
swaptions,3,312.52,100,0.5,47.6875,52.3125,0.0,0.0
x264,0,312.72,100,0.5,48.875,51.125,0.0,0.0
x264,1,312.72,100,0.5,47.5625,52.4375,0.0,0.0
x264,2,312.72,100,0.25,97.4375,2.5625,0.0,0.0
x264,3,312.72,100,0.25,97.625,2.375,0.0,0.0
hp5,0,319.11,100,0.5,48.375,51.625,0.0,0.0
hp5,1,319.11,100,0.5,49.0625,50.9375,0.0,0.0
hp5,2,319.11,100,0.25,98.125,1.875,0.0,0.0
hp5,3,319.11,100,0.25,97.4375,2.5625,0.0,0.0
hp10,0,316.29,100,0.5,46.5625,53.4375,0.0,0.0
hp10,1,316.29,100,0.5,48.6875,51.3125,0.0,0.0
hp10,2,316.29,100,0.34375,87.6875,12.3125,0.0,0.0
hp10,3,316.29,100,0.25,97.3125,2.6875,0.0,0.0
mat,0,317.48,100,0.5,49.9375,50.0625,0.0,0.0
mat,1,317.48,100,0.5,48.375,51.625,0.0,0.0
mat,2,317.48,100,0.25,97.125,2.875,0.0,0.0
mat,3,317.48,100,0.25,97.375,2.625,0.0,0.0
tran,0,323.06,100,0.5,47.5625,52.4375,0.0,0.0
tran,1,323.06,100,0.5,49.5625,50.4375,0.0,0.0
tran,2,323.06,100,0.25,98.0,2.0,0.0,0.0
tran,3,323.06,100,0.25,97.8125,2.1875,0.0,0.0
unif,0,324.22,100,0.5,48.625,51.375,0.0,0.0
unif,1,324.22,100,0.5,48.8125,51.1875,0.0,0.0
unif,2,324.22,100,0.25,96.875,3.125,0.0,0.0
unif,3,324.22,100,0.25,97.5,2.5,0.0,0.0
