bench,layer,T_ref,loop,defected,virtual,serial,disable,redundant
blackscholes,0,312.62,100,0.5,57.375,13.0,0.1875,0.25
blackscholes,1,312.62,100,0.5,56.875,14.1875,0.3125,0.25
blackscholes,2,312.62,100,0.25,32.75,0.0625,0.0,0.25
blackscholes,3,312.62,100,0.25,32.0625,0.0625,0.0,0.25
canneal,0,313.98,100,0.5,57.375,14.125,0.375,0.25
canneal,1,313.98,100,0.453125,56.75,11.25,0.5,0.25
canneal,2,313.98,100,0.25,31.8125,0.0,0.0,0.25
canneal,3,313.98,100,0.25,32.375,0.25,0.0,0.25
dedup,0,312.93,100,0.5,56.8125,13.8125,0.3125,0.25
dedup,1,312.93,100,0.5,56.6875,13.6875,0.1875,0.25
dedup,2,312.93,100,0.25,32.0625,0.125,0.0,0.25
dedup,3,312.93,100,0.25,31.6875,0.125,0.0,0.25
facesim,0,313.12,100,0.5,57.25,13.75,0.125,0.25
facesim,1,313.12,100,0.5,56.9375,13.75,0.0625,0.25
facesim,2,313.12,100,0.25,32.375,0.0,0.0,0.25
facesim,3,313.12,100,0.25,33.0,0.125,0.0,0.25
ferret,0,312.78,100,0.5,56.4375,14.125,0.3125,0.25
ferret,1,312.78,100,0.5,56.4375,14.0625,0.1875,0.25
ferret,2,312.78,100,0.25,32.0,0.25,0.0,0.25
ferret,3,312.78,100,0.25,31.875,0.1875,0.0,0.25
fluidanimate,0,312.63,100,0.5,57.1875,14.4375,0.125,0.25
fluidanimate,1,312.63,100,0.5,56.5625,14.625,0.4375,0.25
fluidanimate,2,312.63,100,0.25,31.5,0.0625,0.0,0.25
fluidanimate,3,312.63,100,0.25,31.75,0.0625,0.0,0.25
swaptions,0,312.52,100,0.5,57.1875,13.25,0.25,0.25
swaptions,1,312.52,100,0.5,56.4375,14.625,0.3125,0.25
swaptions,2,312.52,100,0.5,56.75,14.375,0.25,0.25
swaptions,3,312.52,100,0.5,57.125,14.5,0.125,0.25
x264,0,312.72,100,0.5,57.375,13.5625,0.125,0.25
x264,1,312.72,100,0.5,57.875,14.0625,0.25,0.25
x264,2,312.72,100,0.25,32.0,0.0,0.0,0.25
x264,3,312.72,100,0.25,31.875,0.0625,0.0,0.25
hp5,0,319.11,100,0.5,57.0,13.75,0.125,0.25
hp5,1,319.11,100,0.5,57.0625,13.9375,0.4375,0.25
hp5,2,319.11,100,0.25,32.5,0.0,0.0625,0.25
hp5,3,319.11,100,0.25,32.0625,0.1875,0.0,0.25
hp10,0,316.29,100,0.5,57.625,12.625,0.25,0.25
hp10,1,316.29,100,0.5,57.0,14.625,0.125,0.25
hp10,2,316.29,100,0.34375,39.625,5.3125,0.0,0.25
hp10,3,316.29,100,0.25,32.75,0.1875,0.0,0.25
mat,0,317.48,100,0.5,57.0625,14.0625,0.125,0.25
mat,1,317.48,100,0.5,57.4375,13.9375,0.0625,0.25
mat,2,317.48,100,0.25,32.625,0.125,0.0,0.25
mat,3,317.48,100,0.25,31.6875,0.0625,0.0,0.25
tran,0,323.06,100,0.5,56.25,14.375,0.1875,0.25
tran,1,323.06,100,0.5,56.1875,14.25,0.1875,0.25
tran,2,323.06,100,0.25,32.5625,0.0,0.0,0.25
tran,3,323.06,100,0.25,32.4375,0.0625,0.0,0.25
unif,0,324.22,100,0.5,57.0625,13.3125,0.125,0.25
unif,1,324.22,100,0.5,57.3125,13.625,0.4375,0.25
unif,2,324.22,100,0.25,31.625,0.125,0.0,0.25
unif,3,324.22,100,0.25,31.625,0.0625,0.0,0.25
