bench,layer,T_ref,loop,defected,virtual,serial,disable,redundant
blackscholes,0,312.62,100,0.5,35.375,9.8125,0.0,0.5
blackscholes,1,312.62,100,0.5,34.375,9.0625,0.0,0.5
blackscholes,2,312.62,100,0.25,0.0,0.0,0.0,0.5
blackscholes,3,312.62,100,0.25,0.0,0.0,0.0,0.5
canneal,0,313.98,100,0.5,34.4375,10.0625,0.0,0.5
canneal,1,313.98,100,0.453125,26.75,6.5,0.0,0.5
canneal,2,313.98,100,0.25,0.0,0.0,0.0,0.5
canneal,3,313.98,100,0.25,0.0,0.0,0.0,0.5
dedup,0,312.93,100,0.5,34.125,10.3125,0.0,0.5
dedup,1,312.93,100,0.5,34.75,9.9375,0.0,0.5
dedup,2,312.93,100,0.25,0.0,0.0,0.0,0.5
dedup,3,312.93,100,0.25,0.0,0.0,0.0,0.5
facesim,0,313.12,100,0.5,34.4375,9.25,0.0,0.5
facesim,1,313.12,100,0.5,33.875,10.125,0.0,0.5
facesim,2,313.12,100,0.25,0.0,0.0,0.0,0.5
facesim,3,313.12,100,0.25,0.0,0.0,0.0,0.5
ferret,0,312.78,100,0.5,34.5,9.0625,0.0,0.5
ferret,1,312.78,100,0.5,35.4375,9.0625,0.0,0.5
ferret,2,312.78,100,0.25,0.0,0.0,0.0,0.5
ferret,3,312.78,100,0.25,0.0,0.0,0.0,0.5
fluidanimate,0,312.63,100,0.5,34.5,10.1875,0.0,0.5
fluidanimate,1,312.63,100,0.5,34.9375,10.25,0.0,0.5
fluidanimate,2,312.63,100,0.25,0.0,0.0,0.0,0.5
fluidanimate,3,312.63,100,0.25,0.0,0.0,0.0,0.5
swaptions,0,312.52,100,0.5,33.9375,10.6875,0.0,0.5
swaptions,1,312.52,100,0.5,34.9375,9.875,0.0,0.5
swaptions,2,312.52,100,0.5,34.75,10.125,0.0,0.5
swaptions,3,312.52,100,0.5,33.6875,10.8125,0.0,0.5
x264,0,312.72,100,0.5,34.0625,9.9375,0.0,0.5
x264,1,312.72,100,0.5,35.375,10.4375,0.0,0.5
x264,2,312.72,100,0.25,0.0,0.0,0.0,0.5
x264,3,312.72,100,0.25,0.0,0.0,0.0,0.5
hp5,0,319.11,100,0.5,33.125,10.875,0.0,0.5
hp5,1,319.11,100,0.5,34.1875,9.625,0.0,0.5
hp5,2,319.11,100,0.25,0.0,0.0,0.0,0.5
hp5,3,319.11,100,0.25,0.0,0.0,0.0,0.5
hp10,0,316.29,100,0.5,34.125,10.25,0.0,0.5
hp10,1,316.29,100,0.5,33.8125,10.6875,0.0,0.5
hp10,2,316.29,100,0.34375,16.5625,1.5625,0.0,0.5
hp10,3,316.29,100,0.25,0.0,0.0,0.0,0.5
mat,0,317.48,100,0.5,34.75,10.1875,0.0,0.5
mat,1,317.48,100,0.5,34.3125,10.3125,0.0,0.5
mat,2,317.48,100,0.25,0.0,0.0,0.0,0.5
mat,3,317.48,100,0.25,0.0,0.0,0.0,0.5
tran,0,323.06,100,0.5,34.25,10.0625,0.0,0.5
tran,1,323.06,100,0.5,34.75,9.5625,0.0,0.5
tran,2,323.06,100,0.25,0.0,0.0,0.0,0.5
tran,3,323.06,100,0.25,0.0,0.0,0.0,0.5
unif,0,324.22,100,0.5,33.75,9.75,0.0,0.5
unif,1,324.22,100,0.5,34.6875,9.4375,0.0,0.5
unif,2,324.22,100,0.25,0.0,0.0,0.0,0.5
unif,3,324.22,100,0.25,0.0,0.0,0.0,0.5
