bench,layer,T_ref,loop,defected,virtual,serial,disable,redundant
blackscholes,0,312.62,100,0.5,35.3125,51.625,0.0,0.25
blackscholes,1,312.62,100,0.5,36.0,51.0625,0.0,0.25
blackscholes,2,312.62,100,0.25,0.0,0.0,0.0,0.25
blackscholes,3,312.62,100,0.25,0.0,0.0,0.0,0.25
canneal,0,313.98,100,0.5,34.4375,52.25,0.0,0.25
canneal,1,313.98,100,0.453125,41.8125,39.4375,0.0,0.25
canneal,2,313.98,100,0.25,0.0,0.0,0.0,0.25
canneal,3,313.98,100,0.25,0.0,0.0,0.0,0.25
dedup,0,312.93,100,0.5,35.5,52.0625,0.0,0.25
dedup,1,312.93,100,0.5,36.6875,50.875,0.0,0.25
dedup,2,312.93,100,0.25,0.0,0.0,0.0,0.25
dedup,3,312.93,100,0.25,0.0,0.0,0.0,0.25
facesim,0,313.12,100,0.5,34.4375,52.375,0.0,0.25
facesim,1,313.12,100,0.5,34.6875,52.25,0.0,0.25
facesim,2,313.12,100,0.25,0.0,0.0,0.0,0.25
facesim,3,313.12,100,0.25,0.0,0.0,0.0,0.25
ferret,0,312.78,100,0.5,34.75,51.625,0.0,0.25
ferret,1,312.78,100,0.5,33.25,53.0,0.0,0.25
ferret,2,312.78,100,0.25,0.0,0.0,0.0,0.25
ferret,3,312.78,100,0.25,0.0,0.0,0.0,0.25
fluidanimate,0,312.63,100,0.5,34.4375,53.0625,0.0,0.25
fluidanimate,1,312.63,100,0.5,34.25,52.25,0.0,0.25
fluidanimate,2,312.63,100,0.25,0.0,0.0,0.0,0.25
fluidanimate,3,312.63,100,0.25,0.0,0.0,0.0,0.25
swaptions,0,312.52,100,0.5,34.0625,52.1875,0.0,0.25
swaptions,1,312.52,100,0.5,34.5,52.0625,0.0,0.25
swaptions,2,312.52,100,0.5,33.6875,53.1875,0.0,0.25
swaptions,3,312.52,100,0.5,36.1875,50.0625,0.0,0.25
x264,0,312.72,100,0.5,35.8125,51.125,0.0,0.25
x264,1,312.72,100,0.5,33.8125,51.875,0.0,0.25
x264,2,312.72,100,0.25,0.0,0.0,0.0,0.25
x264,3,312.72,100,0.25,0.0,0.0,0.0,0.25
hp5,0,319.11,100,0.5,35.375,50.9375,0.0,0.25
hp5,1,319.11,100,0.5,34.5625,52.9375,0.0,0.25
hp5,2,319.11,100,0.25,0.0,0.0,0.0,0.25
hp5,3,319.11,100,0.25,0.0,0.0,0.0,0.25
hp10,0,316.29,100,0.5,34.4375,51.1875,0.0,0.25
hp10,1,316.29,100,0.5,35.875,50.625,0.0,0.25
hp10,2,316.29,100,0.34375,39.375,11.5,0.0,0.25
hp10,3,316.29,100,0.25,0.0,0.0,0.0,0.25
mat,0,317.48,100,0.5,34.875,51.6875,0.0,0.25
mat,1,317.48,100,0.5,35.0625,51.875,0.0,0.25
mat,2,317.48,100,0.25,0.0,0.0,0.0,0.25
mat,3,317.48,100,0.25,0.0,0.0,0.0,0.25
tran,0,323.06,100,0.5,36.375,50.75,0.0,0.25
tran,1,323.06,100,0.5,35.6875,51.875,0.0,0.25
tran,2,323.06,100,0.25,0.0,0.0,0.0,0.25
tran,3,323.06,100,0.25,0.0,0.0,0.0,0.25
unif,0,324.22,100,0.5,34.4375,51.8125,0.0,0.25
unif,1,324.22,100,0.5,35.5,50.9375,0.0,0.25
unif,2,324.22,100,0.25,0.0,0.0,0.0,0.25
unif,3,324.22,100,0.25,0.0,0.0,0.0,0.25
