bench,layer,T_ref,loop,defected,virtual,serial,disable,redundant
blackscholes,0,312.62,100,0.5,34.8125,51.5625,0.0,0.0
blackscholes,1,312.62,100,0.5,35.625,50.4375,0.0,0.0
blackscholes,2,312.62,100,0.25,60.8125,2.125,1.5,0.0
blackscholes,3,312.62,100,0.25,61.0,2.4375,1.5,0.0
canneal,0,313.98,100,0.5,35.0625,50.875,0.0,0.0
canneal,1,313.98,100,0.453125,45.5,37.6875,0.0,0.0
canneal,2,313.98,100,0.25,60.5625,2.6875,1.4375,0.0
canneal,3,313.98,100,0.25,60.1875,2.5,1.5625,0.0
dedup,0,312.93,100,0.5,33.9375,52.625,0.0,0.0
dedup,1,312.93,100,0.5,34.0,52.1875,0.0,0.0
dedup,2,312.93,100,0.25,61.0,2.625,1.0625,0.0
dedup,3,312.93,100,0.25,60.125,2.875,0.9375,0.0
facesim,0,313.12,100,0.5,34.25,51.375,0.0,0.0
facesim,1,313.12,100,0.5,34.0,52.6875,0.0,0.0
facesim,2,313.12,100,0.25,61.375,2.5625,1.3125,0.0
facesim,3,313.12,100,0.25,60.75,2.3125,1.25,0.0
ferret,0,312.78,100,0.5,35.125,50.25,0.0,0.0
ferret,1,312.78,100,0.5,34.9375,51.375,0.0,0.0
ferret,2,312.78,100,0.25,61.3125,3.5,1.3125,0.0
ferret,3,312.78,100,0.25,60.8125,2.375,1.4375,0.0
fluidanimate,0,312.63,100,0.5,34.1875,51.75,0.0,0.0
fluidanimate,1,312.63,100,0.5,33.5,52.25,0.0,0.0
fluidanimate,2,312.63,100,0.25,60.375,2.0625,1.125,0.0
fluidanimate,3,312.63,100,0.25,60.1875,2.9375,1.6875,0.0
swaptions,0,312.52,100,0.5,33.9375,52.0625,0.0,0.0
swaptions,1,312.52,100,0.5,33.75,51.4375,0.0,0.0
swaptions,2,312.52,100,0.5,34.9375,51.1875,0.0,0.0
swaptions,3,312.52,100,0.5,32.625,52.3125,0.0,0.0
x264,0,312.72,100,0.5,34.9375,51.125,0.0,0.0
x264,1,312.72,100,0.5,33.5,52.4375,0.0,0.0
x264,2,312.72,100,0.25,58.625,2.5625,1.5,0.0
x264,3,312.72,100,0.25,59.8125,2.375,1.4375,0.0
hp5,0,319.11,100,0.5,34.375,51.625,0.0,0.0
hp5,1,319.11,100,0.5,34.5625,50.9375,0.0,0.0
hp5,2,319.11,100,0.25,60.75,1.875,1.5,0.0
hp5,3,319.11,100,0.25,60.75,2.5625,1.3125,0.0
hp10,0,316.29,100,0.5,32.8125,53.4375,0.0,0.0
hp10,1,316.29,100,0.5,35.4375,51.3125,0.0,0.0
hp10,2,316.29,100,0.34375,55.6875,12.3125,0.1875,0.0
hp10,3,316.29,100,0.25,59.0,2.6875,1.4375,0.0
mat,0,317.48,100,0.5,36.8125,50.0625,0.0,0.0
mat,1,317.48,100,0.5,34.25,51.625,0.0,0.0
mat,2,317.48,100,0.25,61.8125,2.875,1.3125,0.0
mat,3,317.48,100,0.25,61.0625,2.625,1.1875,0.0
tran,0,323.06,100,0.5,32.875,52.4375,0.0,0.0
tran,1,323.06,100,0.5,35.1875,50.4375,0.0,0.0
tran,2,323.06,100,0.25,60.5625,2.0,1.5,0.0
tran,3,323.06,100,0.25,60.5625,2.1875,1.375,0.0
unif,0,324.22,100,0.5,34.6875,51.375,0.0,0.0
unif,1,324.22,100,0.5,33.9375,51.1875,0.0,0.0
unif,2,324.22,100,0.25,58.4375,3.125,1.5625,0.0
unif,3,324.22,100,0.25,60.6875,2.5,1.1875,0.0
