cols,rows,loop,injected,defected,virtual,serial,disable,redundant
2,2,1000,0.0,0.0,0.0,0.0,0.0,0.5,ford-fulkerson
2,2,1000,0.0,0.0,0.0,0.0,0.0,0.5,weight-based
2,2,1000,5.0,4.1666956,0.0,0.0,0.0,0.5,ford-fulkerson
2,2,1000,5.0,4.1666956,0.0,0.0,0.0,0.5,weight-based
2,2,1000,10.0,8.333391,0.0,0.0,0.0,0.5,ford-fulkerson
2,2,1000,10.0,8.333391,0.0,0.0,0.0,0.5,weight-based
2,2,1000,15.0,16.666782,0.0,0.0,0.0,0.5,ford-fulkerson
2,2,1000,15.0,16.666782,0.0,0.0,0.0,0.5,weight-based
2,2,1000,20.0,20.833368,0.0,0.0,0.0,0.5,ford-fulkerson
2,2,1000,20.0,20.833368,0.0,0.0,0.0,0.5,weight-based
2,2,1000,25.0,25.0,0.0,0.175,0.0,0.5,ford-fulkerson
2,2,1000,25.0,25.0,0.0,0.175,0.0,0.5,weight-based
2,2,1000,30.0,29.166454,0.0,0.15,0.0,0.5,ford-fulkerson
2,2,1000,30.0,29.166454,0.0,0.15,0.0,0.5,weight-based
2,2,1000,35.0,33.333565,0.075,0.55,0.0,0.5,ford-fulkerson
2,2,1000,35.0,33.333565,0.175,0.55,0.0,0.5,weight-based
2,2,1000,40.0,41.666737,1.2,3.15,0.0,0.5,ford-fulkerson
2,2,1000,40.0,41.666737,1.675,3.15,0.0,0.5,weight-based
2,2,1000,45.0,45.83315,3.05,4.7,0.0,0.5,ford-fulkerson
2,2,1000,45.0,45.83315,3.575,4.7,0.0,0.5,weight-based
2,2,1000,50.0,50.0,6.2,8.025,0.0,0.5,ford-fulkerson
2,2,1000,50.0,50.0,6.625,8.025,0.15,0.5,weight-based
4,4,1000,0.0,0.0,0.0,0.0,0.0,0.25,ford-fulkerson
4,4,1000,0.0,0.0,0.0,0.0,0.0,0.25,weight-based
4,4,1000,5.0,5.0,0.0,0.0,0.0,0.25,ford-fulkerson
4,4,1000,5.0,5.0,0.0,0.0,0.0,0.25,weight-based
4,4,1000,10.0,10.0,0.0,0.0,0.0,0.25,ford-fulkerson
4,4,1000,10.0,10.0,0.175,0.0,0.0,0.25,weight-based
4,4,1000,15.0,15.0,0.00625,0.0625,0.0,0.25,ford-fulkerson
4,4,1000,15.0,15.0,1.29375,0.0625,0.0,0.25,weight-based
4,4,1000,20.0,20.0,0.53125,0.325,0.0,0.25,ford-fulkerson
4,4,1000,20.0,20.0,3.8625,0.325,0.025,0.25,weight-based
4,4,1000,25.0,25.0,5.21875,1.01875,0.0,0.25,ford-fulkerson
4,4,1000,25.0,25.0,8.80625,1.01875,0.0875,0.25,weight-based
4,4,1000,30.0,30.0,15.01875,2.625,0.0,0.25,ford-fulkerson
4,4,1000,30.0,30.0,14.39375,2.625,0.0875,0.25,weight-based
4,4,1000,35.0,35.0,24.80625,5.08125,0.0125,0.25,ford-fulkerson
4,4,1000,35.0,35.0,18.61875,5.08125,0.2125,0.25,weight-based
4,4,1000,40.0,40.0,31.5375,9.125,0.0125,0.25,ford-fulkerson
4,4,1000,40.0,40.0,22.125,9.125,0.3,0.25,weight-based
4,4,1000,45.0,45.0,36.05,14.975,0.025,0.25,ford-fulkerson
4,4,1000,45.0,45.0,24.83125,14.975,0.325,0.25,weight-based
4,4,1000,50.0,50.0,38.4375,22.04375,0.0875,0.25,ford-fulkerson
4,4,1000,50.0,50.0,26.1875,22.04375,0.65625,0.25,weight-based
8,8,1000,0.0,0.0,0.0,0.0,0.0,0.125,ford-fulkerson
8,8,1000,0.0,0.0,0.0,0.0,0.0,0.125,weight-based
8,8,1000,5.0,4.8611255,0.0,0.0015625,0.0,0.125,ford-fulkerson
8,8,1000,5.0,4.8611255,0.9390625,0.0015625,0.0,0.125,weight-based
8,8,1000,10.0,10.069361,0.0375,0.0296875,0.0,0.125,ford-fulkerson
8,8,1000,10.0,10.069361,4.671875,0.0296875,0.0015625,0.125,weight-based
8,8,1000,15.0,14.930648,8.7421875,0.1515625,0.0,0.125,ford-fulkerson
8,8,1000,15.0,14.930648,10.126562,0.1515625,0.025,0.125,weight-based
8,8,1000,20.0,20.138721,23.075,0.6984375,0.0,0.125,ford-fulkerson
8,8,1000,20.0,20.138721,16.039062,0.6984375,0.059375,0.125,weight-based
8,8,1000,25.0,25.0,34.417187,1.9765625,0.0015625,0.125,ford-fulkerson
8,8,1000,25.0,25.0,21.25625,1.9765625,0.0828125,0.125,weight-based
8,8,1000,30.0,29.861296,42.546875,4.115625,0.00625,0.125,ford-fulkerson
8,8,1000,30.0,29.861296,25.59375,4.115625,0.228125,0.125,weight-based
8,8,1000,35.0,35.069862,48.926563,7.9953127,0.015625,0.125,ford-fulkerson
8,8,1000,35.0,35.069862,29.040625,7.9953127,0.4625,0.125,weight-based
8,8,1000,40.0,39.93008,51.60781,13.375,0.0390625,0.125,ford-fulkerson
8,8,1000,40.0,39.93008,31.173437,13.375,0.534375,0.125,weight-based
8,8,1000,45.0,45.13923,51.86875,20.525,0.0890625,0.125,ford-fulkerson
8,8,1000,45.0,45.13923,32.08125,20.525,0.675,0.125,weight-based
8,8,1000,50.0,50.0,48.990623,29.171875,0.190625,0.125,ford-fulkerson
8,8,1000,50.0,50.0,31.53125,29.171875,0.809375,0.125,weight-based
