cols,rows,loop,injected,defected,virtual,serial,disable,redundant
2,2,1000,0.0,0.0,0.0,0.0,0.0,0.75,ford-fulkerson
2,2,1000,0.0,0.0,0.0,0.0,0.0,0.75,weight-based
2,2,1000,5.0,3.5714664,0.0,0.0,0.0,0.75,ford-fulkerson
2,2,1000,5.0,3.5714664,0.0,0.0,0.0,0.75,weight-based
2,2,1000,10.0,10.714223,0.0,0.0,0.0,0.75,ford-fulkerson
2,2,1000,10.0,10.714223,0.0,0.0,0.0,0.75,weight-based
2,2,1000,15.0,14.285866,0.0,0.0,0.0,0.75,ford-fulkerson
2,2,1000,15.0,14.285866,0.0,0.0,0.0,0.75,weight-based
2,2,1000,20.0,21.428446,0.0,0.0,0.0,0.75,ford-fulkerson
2,2,1000,20.0,21.428446,0.0,0.0,0.0,0.75,weight-based
2,2,1000,25.0,25.0,0.0,0.0,0.0,0.75,ford-fulkerson
2,2,1000,25.0,25.0,0.0,0.0,0.0,0.75,weight-based
2,2,1000,30.0,28.571732,0.0,0.075,0.0,0.75,ford-fulkerson
2,2,1000,30.0,28.571732,0.0,0.075,0.0,0.75,weight-based
2,2,1000,35.0,35.7145,0.0,0.25,0.0,0.75,ford-fulkerson
2,2,1000,35.0,35.7145,0.0,0.25,0.0,0.75,weight-based
2,2,1000,40.0,39.28547,0.025,0.525,0.0,0.75,ford-fulkerson
2,2,1000,40.0,39.28547,0.05,0.55,0.0,0.75,weight-based
2,2,1000,45.0,46.42864,0.25,2.3,0.0,0.75,ford-fulkerson
2,2,1000,45.0,46.42864,0.425,2.45,0.0,0.75,weight-based
2,2,1000,50.0,50.0,0.825,4.1,0.0,0.75,ford-fulkerson
2,2,1000,50.0,50.0,1.1,4.35,0.0,0.75,weight-based
4,4,1000,0.0,0.0,0.0,0.0,0.0,0.5,ford-fulkerson
4,4,1000,0.0,0.0,0.0,0.0,0.0,0.5,weight-based
4,4,1000,5.0,5.208342,0.0,0.0,0.0,0.5,ford-fulkerson
4,4,1000,5.0,5.208342,0.0,0.0,0.0,0.5,weight-based
4,4,1000,10.0,10.416684,0.0,0.0,0.0,0.5,ford-fulkerson
4,4,1000,10.0,10.416684,0.0,0.0,0.0,0.5,weight-based
4,4,1000,15.0,14.583227,0.0,0.00625,0.0,0.5,ford-fulkerson
4,4,1000,15.0,14.583227,0.0125,0.00625,0.0,0.5,weight-based
4,4,1000,20.0,19.791662,0.0125,0.06875,0.0,0.5,ford-fulkerson
4,4,1000,20.0,19.791662,0.25,0.075,0.0,0.5,weight-based
4,4,1000,25.0,25.0,0.1625,0.36875,0.0,0.5,ford-fulkerson
4,4,1000,25.0,25.0,1.10625,0.475,0.0,0.5,weight-based
4,4,1000,30.0,30.20856,0.61875,0.91875,0.0,0.5,ford-fulkerson
4,4,1000,30.0,30.20856,3.2625,1.3125,0.0,0.5,weight-based
4,4,1000,35.0,35.416523,3.1625,2.63125,0.0,0.5,ford-fulkerson
4,4,1000,35.0,35.416523,6.6,3.88125,0.025,0.5,weight-based
4,4,1000,40.0,39.583324,8.2875,4.40625,0.0,0.5,ford-fulkerson
4,4,1000,40.0,39.583324,10.23125,6.78125,0.08125,0.5,weight-based
4,4,1000,45.0,44.791824,16.625,8.5375,0.0125,0.5,ford-fulkerson
4,4,1000,45.0,44.791824,14.475,12.40625,0.06875,0.5,weight-based
4,4,1000,50.0,50.0,23.6,14.0375,0.0125,0.5,ford-fulkerson
4,4,1000,50.0,50.0,17.75,19.61875,0.125,0.5,weight-based
8,8,1000,0.0,0.0,0.0,0.0,0.0,0.375,ford-fulkerson
8,8,1000,0.0,0.0,0.0,0.0,0.0,0.375,weight-based
8,8,1000,5.0,5.113622,0.0,0.0,0.0,0.375,ford-fulkerson
8,8,1000,5.0,5.113622,0.0,0.0,0.0,0.375,weight-based
8,8,1000,10.0,9.943277,0.0,0.003125,0.0,0.375,ford-fulkerson
8,8,1000,10.0,9.943277,0.0140625,0.0046875,0.0,0.375,weight-based
8,8,1000,15.0,15.056695,0.0015625,0.0375,0.0,0.375,ford-fulkerson
8,8,1000,15.0,15.056695,0.2703125,0.0390625,0.003125,0.375,weight-based
8,8,1000,20.0,19.886555,0.075,0.1953125,0.0,0.375,ford-fulkerson
8,8,1000,20.0,19.886555,1.6578125,0.265625,0.003125,0.375,weight-based
8,8,1000,25.0,25.0,1.0640625,0.725,0.0,0.375,ford-fulkerson
8,8,1000,25.0,25.0,5.3015623,1.1671875,0.0125,0.375,weight-based
8,8,1000,30.0,30.11339,8.196875,1.81875,0.0,0.375,ford-fulkerson
8,8,1000,30.0,30.11339,11.376562,3.484375,0.021875,0.375,weight-based
8,8,1000,35.0,34.943214,19.140625,3.8265624,0.0,0.375,ford-fulkerson
8,8,1000,35.0,34.943214,17.165625,7.1078124,0.0515625,0.375,weight-based
8,8,1000,40.0,40.057014,29.159374,7.253125,0.0125,0.375,ford-fulkerson
8,8,1000,40.0,40.057014,21.929688,12.446875,0.109375,0.375,weight-based
8,8,1000,45.0,44.886646,35.63906,12.235937,0.0375,0.375,ford-fulkerson
8,8,1000,45.0,44.886646,24.609375,18.995312,0.16875,0.375,weight-based
8,8,1000,50.0,50.0,39.29844,19.765625,0.1109375,0.375,ford-fulkerson
8,8,1000,50.0,50.0,25.621876,27.739063,0.3703125,0.375,weight-based
