cols,rows,loop,injected,defected,virtual,serial,disable,redundant
2,2,100000,0.0,0.0,0.0,0.0,0.0,0.5
2,2,100000,5.0,4.1641088,0.0,0.0,0.0,0.5
2,2,100000,10.0,8.3282175,0.0,0.0,0.0,0.5
2,2,100000,15.0,16.656435,0.0,0.0,0.0,0.5
2,2,100000,20.0,20.84982,0.0,0.0135,0.0,0.5
2,2,100000,25.0,25.0,0.0,0.07625,2.5E-4,0.5
2,2,100000,30.0,29.178038,0.0,0.2675,0.00575,0.5
2,2,100000,35.0,33.31287,0.0,0.7175,0.02175,0.5
2,2,100000,40.0,41.69964,0.0,3.882,0.14675,0.5
2,2,100000,45.0,45.816784,0.0,7.5175,0.33825,0.5
2,2,100000,50.0,50.0,0.0,13.382,0.7205,0.5
4,4,100000,0.0,0.0,0.0,0.0,0.0,0.25
4,4,100000,5.0,5.0,0.0,0.0,0.0,0.25
4,4,100000,10.0,10.0,1.25E-4,0.005,0.0,0.25
4,4,100000,15.0,15.0,0.0140625,0.0765,1.25E-4,0.25
4,4,100000,20.0,20.0,0.354125,0.4619375,7.5E-4,0.25
4,4,100000,25.0,25.0,3.85,2.2725,0.004375,0.25
4,4,100000,30.0,30.0,11.475,6.216875,0.0183125,0.25
4,4,100000,35.0,35.0,18.017376,11.764375,0.05725,0.25
4,4,100000,40.0,40.0,21.818562,18.991438,0.1370625,0.25
4,4,100000,45.0,45.0,22.969688,27.717062,0.317375,0.25
4,4,100000,50.0,50.0,21.863625,37.59656,0.66875,0.25
8,8,100000,0.0,0.0,0.0,0.0,0.0,0.125
8,8,100000,5.0,4.866701,1.5625E-5,6.25E-4,0.0,0.125
8,8,100000,10.0,10.063501,0.029484374,0.025953125,0.0,0.125
8,8,100000,15.0,14.918201,8.546765,0.35771874,6.25E-5,0.125
8,8,100000,20.0,20.127003,22.307743,1.4412344,0.001,0.125
8,8,100000,25.0,25.0,32.50035,3.5552032,0.003671875,0.125
8,8,100000,30.0,29.836403,39.78887,7.071656,0.013328125,0.125
8,8,100000,35.0,35.056293,44.165134,12.729805,0.042390626,0.125
8,8,100000,40.0,39.950466,45.146774,19.76365,0.10890625,0.125
8,8,100000,45.0,45.17485,43.256916,28.998695,0.26370314,0.125
8,8,100000,50.0,50.0,39.117447,38.729465,0.5654844,0.125
