cols,rows,loop,injected,defected,virtual,serial,disable,redundant
2,2,100000,0.0,0.0,0.0,0.0,0.0,0.75
2,2,100000,5.0,4.1641088,0.0,0.0,0.0,0.75
2,2,100000,10.0,8.3282175,0.0,0.0,0.0,0.75
2,2,100000,15.0,16.656435,0.0,0.0,0.0,0.75
2,2,100000,20.0,20.84982,0.0,0.0,0.0,0.75
2,2,100000,25.0,25.0,0.0,0.00125,0.0,0.75
2,2,100000,30.0,29.178038,0.0,0.003,0.0,0.75
2,2,100000,35.0,33.31287,0.0,0.02475,0.0,0.75
2,2,100000,40.0,41.69964,0.0,0.15925,0.0,0.75
2,2,100000,45.0,45.816784,0.0,0.34425,0.0,0.75
2,2,100000,50.0,50.0,0.0,0.702,0.0,0.75
4,4,100000,0.0,0.0,0.0,0.0,0.0,0.5
4,4,100000,5.0,5.0,0.0,0.0,0.0,0.5
4,4,100000,10.0,10.0,0.0,2.5E-4,0.0,0.5
4,4,100000,15.0,15.0,6.25E-5,0.004125,0.0,0.5
4,4,100000,20.0,20.0,4.375E-4,0.0238125,0.0,0.5
4,4,100000,25.0,25.0,0.009,0.1111875,0.0,0.5
4,4,100000,30.0,30.0,0.0523125,0.3455625,0.0,0.5
4,4,100000,35.0,35.0,0.25725,0.9455625,0.0,0.5
4,4,100000,40.0,40.0,0.9494375,2.259,0.0,0.5
4,4,100000,45.0,45.0,2.6939375,4.828875,0.0,0.5
4,4,100000,50.0,50.0,5.8483124,9.136937,0.0,0.5
8,8,100000,0.0,0.0,0.0,0.0,0.0,0.375
8,8,100000,5.0,4.866701,0.0,0.0,0.0,0.375
8,8,100000,10.0,10.063501,1.5625E-5,0.001078125,0.0,0.375
8,8,100000,15.0,14.918201,6.71875E-4,0.01246875,0.0,0.375
8,8,100000,20.0,20.127003,0.0115,0.073515624,0.0,0.375
8,8,100000,25.0,25.0,0.0939375,0.26421875,0.0,0.375
8,8,100000,30.0,29.836403,0.68425,0.7470781,0.0,0.375
8,8,100000,35.0,35.056293,4.421875,1.975625,0.0,0.375
8,8,100000,40.0,39.950466,11.809193,4.194578,0.0,0.375
8,8,100000,45.0,45.17485,19.52412,8.029312,0.0,0.375
8,8,100000,50.0,50.0,24.956936,13.247461,0.0,0.375
