cols,rows,loop,injected,defected,virtual,serial,disable,redundant
2,2,100000,0.0,0.0,0.0,0.0,0.0,0.25
2,2,100000,5.0,6.25,0.0,0.0,0.0,0.25
2,2,100000,10.0,12.5,0.0,0.0,0.0,0.25
2,2,100000,15.0,12.5,0.0,0.0,0.0,0.25
2,2,100000,20.0,18.75,0.0,0.0,0.0,0.25
2,2,100000,25.0,25.0,0.0,0.81575,0.0,0.25
2,2,100000,30.0,31.25,21.427,3.573,0.0,0.25
2,2,100000,35.0,37.5,33.076,9.20325,0.0,0.25
2,2,100000,40.0,37.5,33.20625,9.1645,0.0,0.25
2,2,100000,45.0,43.76032,39.32225,18.278,0.0,0.25
2,2,100000,50.0,50.0,39.7365,30.43175,0.0,0.25
4,4,100000,0.0,0.0,0.0,0.0,0.0,0.25
4,4,100000,5.0,4.6875,0.0,0.0,0.0,0.25
4,4,100000,10.0,9.375,1.875E-4,0.009125,0.0,0.25
4,4,100000,15.0,15.625,0.021875,0.1383125,0.0,0.25
4,4,100000,20.0,20.282265,0.1850625,0.47625,0.0,0.25
4,4,100000,25.0,25.0,1.1018125,1.242875,0.0,0.25
4,4,100000,30.0,29.727924,13.784875,2.646875,0.0,0.25
4,4,100000,35.0,34.42374,25.212126,4.9960623,0.0,0.25
4,4,100000,40.0,40.56453,36.618374,9.94175,0.0,0.25
4,4,100000,45.0,45.282814,41.803436,15.3480625,0.0,0.25
4,4,100000,50.0,50.0,44.27276,22.230062,0.0,0.25
8,8,100000,0.0,0.0,0.0,0.0,0.0,0.25
8,8,100000,5.0,5.070566,0.0,2.8125E-4,0.0,0.25
8,8,100000,10.0,10.141132,0.001640625,0.0121875,0.0,0.25
8,8,100000,15.0,14.863962,0.022609375,0.07489063,0.0,0.25
8,8,100000,20.0,19.90582,0.1934375,0.30229688,0.0,0.25
8,8,100000,25.0,25.0,1.6001875,0.8627969,0.0,0.25
8,8,100000,30.0,30.066668,14.803595,2.0217812,0.0,0.25
8,8,100000,35.0,35.180046,27.441343,4.1123123,0.0,0.25
8,8,100000,40.0,39.81164,36.62152,7.132344,0.0,0.25
8,8,100000,45.0,44.955296,43.595814,11.868205,0.0,0.25
8,8,100000,50.0,50.0,47.18917,18.415888,0.0,0.25
