cols,rows,loop,injected,defected,virtual,serial,disable,redundant
2,2,1000,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1000,10.0,12.5,44.95,0.0,0.0,0.0
2,2,1000,20.0,18.75,57.425,3.7,0.0,0.0
2,2,1000,30.0,31.25,57.525,24.05,0.0,0.0
2,2,1000,40.0,37.5,50.2,38.8,0.0,0.0
2,2,1000,50.0,50.0,25.875,69.975,0.325,0.0
4,4,1000,0.0,0.0,0.0,0.0,0.0,0.0
4,4,1000,10.0,9.375,33.09375,0.225,0.0,0.0
4,4,1000,20.0,20.3125,57.3875,3.73125,0.0,0.0
4,4,1000,30.0,29.6875,63.69375,12.6625,0.0125,0.0
4,4,1000,40.0,40.625,57.48125,30.5625,0.0875,0.0
4,4,1000,50.0,50.0,44.0875,49.40625,0.7625,0.0
8,8,1000,0.0,0.0,0.0,0.0,0.0,0.0
8,8,1000,10.0,10.15625,34.70625,0.2484375,0.0,0.0
8,8,1000,20.0,19.921875,56.895313,2.321875,0.003125,0.0
8,8,1000,30.0,30.078125,67.004684,9.334375,0.0078125,0.0
8,8,1000,40.0,39.84375,64.47813,22.598438,0.1125,0.0
8,8,1000,50.0,50.0,50.87031,42.528126,0.546875,0.0
16,16,1000,0.0,0.0,0.0,0.0,0.0,0.0
16,16,1000,10.0,9.9609375,34.226562,0.103515625,0.0,0.0
16,16,1000,20.0,20.019531,57.48594,1.6242187,3.90625E-4,0.0
16,16,1000,30.0,29.980469,68.4836,7.5492187,0.009765625,0.0
16,16,1000,40.0,40.039062,66.7582,20.291016,0.09648438,0.0
16,16,1000,50.0,50.0,54.091408,39.206642,0.47109374,0.0
