cols,rows,loop,injected,defected,virtual,serial,disable,redundant
2,2,100000,0.0,0.0,0.0,0.0,0.0,0.5
2,2,100000,5.0,4.1641088,0.0,0.0,0.0,0.5
2,2,100000,10.0,8.3282175,0.0,0.0,0.0,0.5
2,2,100000,15.0,16.656435,0.7645,0.0,0.0,0.5
2,2,100000,20.0,20.84982,1.83525,0.01525,0.0,0.5
2,2,100000,25.0,25.0,3.4525,0.081,0.0,0.5
2,2,100000,30.0,29.178038,5.678,0.264,0.0,0.5
2,2,100000,35.0,33.31287,8.40025,0.69675,0.0,0.5
2,2,100000,40.0,41.69964,14.89275,2.828,0.0,0.5
2,2,100000,45.0,45.816784,18.54675,4.80525,0.0,0.5
2,2,100000,50.0,50.0,21.82325,7.715,0.0,0.5
4,4,100000,0.0,0.0,0.0,0.0,0.0,0.25
4,4,100000,5.0,5.0,0.0826875,0.0,0.0,0.25
4,4,100000,10.0,10.0,1.0876875,0.005125,0.0,0.25
4,4,100000,15.0,15.0,3.8975,0.0685,0.0,0.25
4,4,100000,20.0,20.0,8.727563,0.34425,0.0,0.25
4,4,100000,25.0,25.0,15.00025,1.086625,1.25E-4,0.25
4,4,100000,30.0,30.0,21.811874,2.5769374,4.375E-4,0.25
4,4,100000,35.0,35.0,28.028126,5.17575,0.0025,0.25
4,4,100000,40.0,40.0,32.870377,9.210563,0.009125,0.25
4,4,100000,45.0,45.0,35.843624,14.826938,0.02775,0.25
4,4,100000,50.0,50.0,36.6155,22.092438,0.0688125,0.25
8,8,100000,0.0,0.0,0.0,0.0,0.0,0.125
8,8,100000,5.0,4.866701,0.5885937,3.4375E-4,0.0,0.125
8,8,100000,10.0,10.063501,4.7960467,0.02365625,0.0,0.125
8,8,100000,15.0,14.918201,11.317555,0.17465626,1.5625E-5,0.125
8,8,100000,20.0,20.127003,18.913696,0.710625,3.125E-5,0.125
8,8,100000,25.0,25.0,25.543848,1.9031719,5.625E-4,0.125
8,8,100000,30.0,29.836403,31.060007,4.1086407,0.00334375,0.125
8,8,100000,35.0,35.056293,35.31991,7.982844,0.011609375,0.125
8,8,100000,40.0,39.950466,37.481964,13.212696,0.03309375,0.125
8,8,100000,45.0,45.17485,37.694004,20.67287,0.08803125,0.125
8,8,100000,50.0,50.0,36.024223,29.184013,0.20525,0.125
