cols,rows,loop,injected,defected,virtual,serial,disable,redundant
2,2,100000,0.0,0.0,0.0,0.0,0.0,0.0
2,2,100000,5.0,6.25,25.0,0.0,0.0,0.0
2,2,100000,10.0,12.5,44.9825,0.0,0.0,0.0
2,2,100000,15.0,12.5,44.9665,0.0,0.0,0.0
2,2,100000,20.0,18.75,57.23975,3.56175,0.0,0.0
2,2,100000,25.0,25.0,59.213,11.8215,0.0,0.0
2,2,100000,30.0,31.25,53.248,24.138,0.0,0.0
2,2,100000,35.0,37.5,44.6305,39.2035,0.013,0.0
2,2,100000,40.0,37.5,44.63275,39.157,0.01475,0.0
2,2,100000,45.0,43.76032,34.7485,54.77025,0.09025,0.0
2,2,100000,50.0,50.0,24.932,69.218,0.362,0.0
4,4,100000,0.0,0.0,0.0,0.0,0.0,0.0
4,4,100000,5.0,4.6875,15.7545,0.0116875,0.0,0.0
4,4,100000,10.0,9.375,25.530188,0.258625,0.0,0.0
4,4,100000,15.0,15.625,34.730625,1.588375,1.25E-4,0.0
4,4,100000,20.0,20.282265,39.90256,3.8033125,5.0E-4,0.0
4,4,100000,25.0,25.0,43.33192,7.434,0.0036875,0.0
4,4,100000,30.0,29.727924,44.84796,12.590375,0.0133125,0.0
4,4,100000,35.0,34.42374,44.48774,19.335812,0.0460625,0.0
4,4,100000,40.0,40.56453,41.28825,30.431313,0.1455625,0.0
4,4,100000,45.0,45.282814,37.261875,39.902874,0.3295625,0.0
4,4,100000,50.0,50.0,32.153812,49.83734,0.647375,0.0
8,8,100000,0.0,0.0,0.0,0.0,0.0,0.0
8,8,100000,5.0,5.070566,10.630935,0.017265625,0.0,0.0
8,8,100000,10.0,10.141132,19.046986,0.20339063,1.5625E-5,0.0
8,8,100000,15.0,14.863962,26.109348,0.7945625,9.375E-5,0.0
8,8,100000,20.0,19.90582,32.562897,2.2690156,8.75E-4,0.0
8,8,100000,25.0,25.0,37.45916,4.981297,0.00390625,0.0
8,8,100000,30.0,30.066668,40.37235,9.362625,0.014796875,0.0
8,8,100000,35.0,35.180046,41.270035,15.527452,0.04646875,0.0
8,8,100000,40.0,39.81164,40.25299,22.81424,0.1136875,0.0
8,8,100000,45.0,44.955296,37.43859,32.176056,0.26707813,0.0
8,8,100000,50.0,50.0,33.144836,42.606194,0.57734376,0.0
