cols,rows,loop,injected,defected,virtual,serial,disable,redundant
2,2,100000,0.0,0.0,0.0,0.0,0.0,0.5
2,2,100000,5.0,4.1641088,0.0,0.0,0.0,0.5
2,2,100000,10.0,8.3282175,0.0,0.0,0.0,0.5
2,2,100000,15.0,16.656435,0.0,0.0,0.0,0.5
2,2,100000,20.0,20.84982,0.0,0.01625,0.0,0.5
2,2,100000,25.0,25.0,0.002,0.085,0.0,0.5
2,2,100000,30.0,29.178038,0.0345,0.27525,0.0,0.5
2,2,100000,35.0,33.31287,0.17975,0.6775,0.0,0.5
2,2,100000,40.0,41.69964,1.68625,2.7735,0.00275,0.5
2,2,100000,45.0,45.816784,3.65,4.815,0.022,0.5
2,2,100000,50.0,50.0,6.6995,7.72775,0.05275,0.5
4,4,100000,0.0,0.0,0.0,0.0,0.0,0.25
4,4,100000,5.0,5.0,0.004875,0.0,0.0,0.25
4,4,100000,10.0,10.0,0.233,0.005875,1.25E-4,0.25
4,4,100000,15.0,15.0,1.2749375,0.0679375,0.0026875,0.25
4,4,100000,20.0,20.0,3.9599376,0.3549375,0.0180625,0.25
4,4,100000,25.0,25.0,8.5535,1.060625,0.062625,0.25
4,4,100000,30.0,30.0,13.7065,2.57975,0.1186875,0.25
4,4,100000,35.0,35.0,18.220812,5.2015624,0.159875,0.25
4,4,100000,40.0,40.0,21.757626,9.197312,0.194375,0.25
4,4,100000,45.0,45.0,24.0315,14.87575,0.2191875,0.25
4,4,100000,50.0,50.0,25.030813,22.177937,0.251875,0.25
8,8,100000,0.0,0.0,0.0,0.0,0.0,0.125
8,8,100000,5.0,4.866701,0.9499844,3.90625E-4,6.25E-5,0.125
8,8,100000,10.0,10.063501,4.7565937,0.024078125,0.006953125,0.125
8,8,100000,15.0,14.918201,10.068829,0.1700625,0.029578125,0.125
8,8,100000,20.0,20.127003,15.952241,0.7177656,0.070015624,0.125
8,8,100000,25.0,25.0,21.060755,1.9112656,0.1205,0.125
8,8,100000,30.0,29.836403,25.478334,4.124422,0.17476563,0.125
8,8,100000,35.0,35.056293,29.08925,7.965781,0.21829687,0.125
8,8,100000,40.0,39.950466,31.150293,13.2109,0.2667969,0.125
8,8,100000,45.0,45.17485,31.85245,20.66926,0.31601563,0.125
8,8,100000,50.0,50.0,31.051125,29.19866,0.41525,0.125
