cols,rows,loop,injected,defected,virtual,serial,disable,redundant
2,2,100000,0.0,0.0,0.0,0.0,0.0,0.75
2,2,100000,5.0,4.1641088,0.0,0.0,0.0,0.75
2,2,100000,10.0,8.3282175,0.0,0.0,0.0,0.75
2,2,100000,15.0,16.656435,0.0,0.0,0.0,0.75
2,2,100000,20.0,20.84982,0.0,0.0,0.0,0.75
2,2,100000,25.0,25.0,0.0,0.001,0.0,0.75
2,2,100000,30.0,29.178038,0.0,0.0065,0.0,0.75
2,2,100000,35.0,33.31287,0.0,0.01875,0.0,0.75
2,2,100000,40.0,41.69964,0.0,0.15525,0.0,0.75
2,2,100000,45.0,45.816784,0.0,0.3635,0.0,0.75
2,2,100000,50.0,50.0,2.5E-4,0.7305,0.0,0.75
4,4,100000,0.0,0.0,0.0,0.0,0.0,0.5
4,4,100000,5.0,5.0,0.0,0.0,0.0,0.5
4,4,100000,10.0,10.0,0.0,1.25E-4,0.0,0.5
4,4,100000,15.0,15.0,3.75E-4,0.0034375,0.0,0.5
4,4,100000,20.0,20.0,0.008375,0.033875,0.0,0.5
4,4,100000,25.0,25.0,0.0648125,0.1690625,2.5E-4,0.5
4,4,100000,30.0,30.0,0.3263125,0.6038125,6.875E-4,0.5
4,4,100000,35.0,35.0,1.0558125,1.642125,0.002,0.5
4,4,100000,40.0,40.0,2.4296875,3.68475,0.007,0.5
4,4,100000,45.0,45.0,4.216,7.1478124,0.02575,0.5
4,4,100000,50.0,50.0,5.9368124,12.255,0.061125,0.5
8,8,100000,0.0,0.0,0.0,0.0,0.0,0.375
8,8,100000,5.0,4.866701,0.0,0.0,0.0,0.375
8,8,100000,10.0,10.063501,5.15625E-4,0.001296875,0.0,0.375
8,8,100000,15.0,14.918201,0.01415625,0.019046875,0.0,0.375
8,8,100000,20.0,20.127003,0.16659375,0.13839063,7.8125E-5,0.375
8,8,100000,25.0,25.0,0.9584531,0.5656875,6.40625E-4,0.375
8,8,100000,30.0,29.836403,3.306,1.7003281,0.003078125,0.375
8,8,100000,35.0,35.056293,7.3453593,4.2491093,0.01071875,0.375
8,8,100000,40.0,39.950466,11.136872,8.194297,0.03153125,0.375
8,8,100000,45.0,45.17485,14.200567,14.336789,0.08445313,0.375
8,8,100000,50.0,50.0,15.702547,21.749113,0.20026563,0.375
