cols,rows,loop,injected,defected,virtual,serial,disable,redundant
2,2,100000,0.0,0.0,0.0,0.0,0.0,0.25
2,2,100000,5.0,6.25,0.0,0.0,0.0,0.25
2,2,100000,10.0,12.5,0.0,0.0,0.0,0.25
2,2,100000,15.0,12.5,0.0,0.0,0.0,0.25
2,2,100000,20.0,18.75,0.0,0.0,0.0,0.25
2,2,100000,25.0,25.0,0.58875,1.0645,0.0,0.25
2,2,100000,30.0,31.25,16.94875,8.49025,0.0,0.25
2,2,100000,35.0,37.5,20.54725,23.07625,0.014,0.25
2,2,100000,40.0,37.5,20.749,22.9085,0.01425,0.25
2,2,100000,45.0,43.76032,16.41525,38.88325,0.09025,0.25
2,2,100000,50.0,50.0,12.9695,55.84725,0.36275,0.25
4,4,100000,0.0,0.0,0.0,0.0,0.0,0.25
4,4,100000,5.0,4.6875,0.0,0.0,0.0,0.25
4,4,100000,10.0,9.375,0.004625,0.0119375,0.0,0.25
4,4,100000,15.0,15.625,0.1228125,0.20675,0.0,0.25
4,4,100000,20.0,20.282265,0.784375,0.8841875,7.5E-4,0.25
4,4,100000,25.0,25.0,3.757625,2.6725,0.004875,0.25
4,4,100000,30.0,29.727924,11.130625,6.5178127,0.013,0.25
4,4,100000,35.0,34.42374,17.5835,12.591312,0.042375,0.25
4,4,100000,40.0,40.56453,21.953688,23.290937,0.1316875,0.25
4,4,100000,45.0,45.282814,22.438688,32.75794,0.3128125,0.25
4,4,100000,50.0,50.0,21.117874,42.90059,0.63525,0.25
8,8,100000,0.0,0.0,0.0,0.0,0.0,0.25
8,8,100000,5.0,5.070566,3.28125E-4,5.46875E-4,0.0,0.25
8,8,100000,10.0,10.141132,0.01184375,0.019765625,0.0,0.25
8,8,100000,15.0,14.863962,0.1233125,0.13195312,7.8125E-5,0.25
8,8,100000,20.0,19.90582,0.93329686,0.6365156,7.65625E-4,0.25
8,8,100000,25.0,25.0,4.471047,2.1487968,0.003609375,0.25
8,8,100000,30.0,30.066668,11.95593,5.448656,0.014296875,0.25
8,8,100000,35.0,35.180046,19.11252,10.926115,0.0420625,0.25
8,8,100000,40.0,39.81164,23.337614,17.738813,0.105625,0.25
8,8,100000,45.0,44.955296,25.133326,26.825773,0.2543125,0.25
8,8,100000,50.0,50.0,24.495283,37.168823,0.5608906,0.25
